"SKN","Station.Name","Observer","Network","Island","ELEV.m.","LAT","LON","NCEI.id","NWS.id","NESDIS.id","SCAN.id","SMART_NODE_RF.id","X2020.07.01","X2020.07.02","X2020.07.03","X2020.07.04","X2020.07.05","X2020.07.06","X2020.07.07","X2020.07.08","X2020.07.09","X2020.07.10","X2020.07.11","X2020.07.12","X2020.07.13","X2020.07.14","X2020.07.15","X2020.07.16","X2020.07.17","X2020.07.18","X2020.07.19","X2020.07.20","X2020.07.21","X2020.07.22","X2020.07.23","X2020.07.24","X2020.07.25","X2020.07.26","X2020.07.27","X2020.07.28","X2020.07.29","X2020.07.30","X2020.07.31"
2.32,"SOUTH KONA 2 2.32","COOP","COOP","BI",647,19.10778,-155.78944,"USC00518652",NA,NA,NA,NA,NA,0.5,6.6,0,NA,7.4,NA,NA,1.5,NA,0,NA,NA,NA,0.8,NA,NA,0,NA,NA,NA,3.3,NA,0,0,NA,NA,NA,1.8,NA,0
2.34,"MILOLII 2.34","COOP","COOP","BI",280,19.186302,-155.886763,"USC00516304",NA,NA,NA,NA,4.3,7.1,0.5,NA,5.8,10.4,4.3,1,NA,1.5,2.5,1.3,NA,1.3,0.8,3.8,0,0,1.5,7.1,NA,5.8,5.6,0,NA,5.3,NA,6.6,5.1,1.8,NA
2.36,"KAPUA 2.36","COOP","COOP","BI",533,19.14472,-155.84944,"USC00513376",NA,NA,NA,NA,0.5,NA,4.1,NA,NA,NA,10.4,6.9,NA,3.6,0,NA,1,NA,0,9.1,0,0,1.3,4.8,NA,NA,NA,0,NA,3,7.9,2.8,7.1,1.5,0.8
3.22,"HAWAIIAN OCEAN VIEW 4.7 NNE","HAWAIIAN OCEAN VIEW 4.7 NNE","CoCoRaHS","BI",1273,19.135,-155.747,"US1HIHI0035",NA,NA,NA,NA,0,0,2.3,0,4.6,NA,0.8,NA,3.3,0.5,NA,0.5,3.3,NA,0.8,0.5,0.8,0.3,NA,1.3,2.5,2,6.9,0.5,1.5,0.5,NA,NA,0.5,NA,0.5
3.9,"LOWER KAHUKU CS","LOWER KAHUKU CS","RAWS","BI",953.7192,19.10083333,-155.6697222,NA,"LKHH1","32D620C2",NA,NA,0.508,NA,2.54,6.096,13.716,7.874,8.89,NA,5.08,3.81,NA,NA,0,NA,3.30200000000002,3.30199999999999,0.50800000000001,NA,4.57199999999997,8.12800000000001,4.572,1.27000000000001,0.253999999999991,9.398,NA,2.53999999999999,2.54000000000002,1.01599999999999,3.30199999999999,1.77799999999999,0
4.14,"NAALEHU 4.7 WSW, HI US","CoCoRaHs","CoCoRaHs","BI",393.18,19.0421,-155.6371,"US1HIHI0057",NA,NA,NA,NA,0,0,2.5,2,NA,0.8,NA,0,NA,0,0,0.5,0,5.3,8.9,0,0,1,0,3.6,NA,0,0,0,2.5,0,10.2,0,0,3.6,0
4.15,"SOUTH POINT NEAR NAALEHU 12SSW","NWS","STATE","BI",295.78,18.9928,-155.668,NA,"SOPH1","B1507246",NA,NA,0,0,NA,NA,8.382,0.254,NA,0,NA,0,0,0,0,7.366,NA,0,0,0.762,0,NA,NA,0,0,0,0.254,0,11.684,0,0,1.524,0
6.2,"NAALEHU 5.7 W","NAALEHU 5.7 W","CoCoRaHS","BI",679,19.0732,-155.6632,"US1HIHI0012",NA,NA,NA,NA,0,0,NA,2,18.5,5.1,4.8,5.3,2.8,0.5,1.3,8.1,0.3,5.1,7.23510809402406,1.3,3,3.8,1,4.8,1.36511473472152,1.8,0.8,0,6.4,0.5,5.6,1.3,2.5,5.8,0.5
9.2,"Nene Cabin","Nene Cabin","RAWS","BI",1991.7737,19.2564,-155.6144,NA,"NENH1","32D64524",NA,NA,0,2.79399999999987,0.254000000000133,NA,NA,7.11200000000008,1.016,NA,0,0,0,0.508,0,1.01600000000008,0,0,0,0,0,0,1.26999999999998,0.761999999999944,0.253999999999905,2.7940000000001,0,5.8420000000001,NA,0.507999999999811,0,0,0
14,"NAALEHU 14","KAU SUGAR","COOP","BI",206,19.06032754,-155.5855501,"USC00516588",NA,NA,NA,NA,0,0,NA,1.46507831842281,13.551974445411,5.6,3.51618796421473,0,2.05110964579193,0,0,0,0,1.86797485598908,5.3,0,1,2.78364880500333,0,3.51618796421473,1,0,0.8,0,4.68825061895298,0,4.10221929158386,0,0,4.24872712342614,0.366269579605702
