nid_id,state_id,dam_name,Data_Source,Gaged,Basin_study,other_dam_name,status,island,county,state,latitude,longitude,basin?,stream_name,dam_purpose,private_dam_on_fed_prop,watershed,TMK,dam_type,pmf_inflow,TMK2,nearest_city,nearest_city_distance,dam_designer,year_completed,year_last_modified,size,regulated_height,volume,dam_length,dam_height,hazard,structural_height,hydraulic_height,maximum_storage,normal_storage,surface_area,drainage_area,,spillway_type,spillway_control,spillway_width,spillway_max_discharge,spillway_protection,spillway_length,spillway_wall_height,outlet_type,ogee_present,outlet_access,outlet_max_discharge,outlet_control_location,outlet_size,staff_gage_level,min_crest_width,upstream_slope_grade,upstream_protection,downstream_slope_grade,downstream_protection,waterbodytype,last_inspection_date,inspection_frequency,hazard_analysis_date,eap,eap_date,eap_createdby,OnlineEAP,OnlineEAPDate,certificate_to_impound_date,district_code,district_name,representative,party,electronic_gauge_url,top_of_crest,spillway_crest,operating_level,dam_former_name,state_reg_agency,core,foundation,nid_height,nid_storage,number_of_locks,length_of_locks,width_of_locks,fed_funding,fed_design,fed_construction,fed_regulatory,fed_inspection,fed_operation,fed_owner,fed_other,source_agency,submit_date,url_address,ConditionAssessment,ConditionAssessmentDate,ConditionAssessmentDetail,RiskAssessmentDate,operational_status,operational_status_date,EnforcementAuthority,InspectionAuthority,JurisdictionalDam,NumSeparateStructures,OtherStructureID,PermittingAuthority,RecordID,dam_type_nid,hazard_nid,spillway_type_nid,outlet_type_nid,access_surface_description,access_method_description,om_onfile,om_date,hhreport_onfile,hhreport_date,stabilityreport_onfile,stabilityreport_date,level_restriction,restriction_basis,last_nod_date,population_at_risk,parcel_count,critical_facility,school_count,realtime_gauge,DLNRAlertOnLevel,DLNRAlertOffLevel,PMF_level,Flood100yr,Owner_Type,owner
HI00040,HA-0040,WAIKOLOA RESERVOIR NO. 1,NA,N,N,WAIKOLOA 50 MG RESERVOIR 1,Active,Hawaii,Hawaii,HI,20.03812,-155.672468,No,WAIKOLOA-OFFSTREAM,Water Supply,FALSE,Waikoloa,(3) 6-5-001:047,Earthen,,,WAIMEA,1,,1970,,Intermediate,40,,1700,44,High,40,40,190,157,6.7,,0,Channel,Uncontrolled,16,160,Concrete,0,2.5,Valve,FALSE,Unknown,,Downstream,12 in.,23,19,30,Mowed Grass,27,Concrete,State Regulated Dam,4/28/2022,5,6/1/2009,TRUE,6/8/2023 15:24,Hawaii DWS,Y,6/8/2023 15:24,,2,2nd Congressional District,Jill Tokuda,Democratic ,,,,,,DLNR,X,U,44,190,0,0,0,,,,,,,,,HI,,https://dams.hawaii.gov/DamInformation.aspx?id=9E23EC78-FB1F-4688-917B-C3FC96309632,POOR,3/1/2020,,,"Under Investigation, Planning, Permitting, or Design for Remediation",1/6/2023,TRUE,TRUE,TRUE,,,TRUE,14766,RE,H,U,V,Paved,Car,0,,0,,0,,,,,497,278,1,0,FALSE,,,,,L,"Hawaii County, Dept of Water Supply"
HI00042,HA-0042,WAIMEA 60 MG RESERVOIR,NA,N,N,PUUKAPU RESERVOIR,Active,Hawaii,Hawaii,HI,20.047138,-155.62329,No,UPPER HAMAKUA DITCH,Irrigation,FALSE,Wailoa,(3) 6-4-002:125,Earthen,,,WAIMEA,2,,1957,,Intermediate,49,,1070,50,High,52,49,189,176,5.1,0.008,0.001568627,Channel,Uncontrolled,6,,Concrete,69,4,Valve,TRUE,Walk,100,Upstream and Downstream,24 in pipe,0,26,34,Dumped Rock,26,Dumped Rock,State Regulated Dam,8/16/2023,5,6/1/2009,TRUE,7/28/2022 11:26,Hawaii DOA,Y,7/28/2022 11:26,,2,2nd Congressional District,Jill Tokuda,Democratic ,http://hdoa.hawaii.gov/arm/irrigation-systems/waimea-irrigation-system-water-level/,2978.1,2973.7,,,DLNR,X,U,52,189,0,0,0,,,,,,,,,HI,,https://dams.hawaii.gov/DamInformation.aspx?id=D04D1FF7-C4E4-41F3-B8D0-63F42C721AAA,POOR,3/1/2020,,,Under Remediation,1/6/2023,TRUE,TRUE,TRUE,,,TRUE,14768,RE,H,U,V,Gravel,Car,0,,0,,0,,,,,9,143,0,0,FALSE,,,,,S,"State of Hawaii, Dept of Agriculture"
HI00043,HA-0043,PUUKAPU WATERSHED RETARDING DAM R-1,NA,N,N,PUUKAPU DAM,Active,Hawaii,Hawaii,HI,20.023329,-155.635369,No,LANIMAUMAU STREAM OFFSTREAM,Flood Control,FALSE,Waikoloa,(3) 6-4-031:007,Earthen,,"(3) 6-4-031:009, (3) 6-4-031:010, (3) 6-4-008:001, (3) 6-4-008:012, (3) 6-4-008:024",WAIMEA KUHIO VILLAGE,1,,1965,,Intermediate,10,,4340,12,High,12,10,1450,,185,3.05,0.016486486,Channel,Uncontrolled,163,2000,Vegetation,200,5.5,Uncontrolled,FALSE,,,Six Dry Wells,6 Injection Wells,0,14,19,Mowed Grass,19,Mowed Grass,State Regulated Dam,7/22/2022,5,6/1/2009,TRUE,8/23/2022 15:02,State DHHL,Y,8/23/2022 15:02,,2,2nd Congressional District,Jill Tokuda,Democratic ,,,,,,DLNR,X,U,12,1450,0,0,0,USDA NRCS,USDA NRCS,USDA NRCS,,,,,,HI,,https://dams.hawaii.gov/DamInformation.aspx?id=738F67F5-651D-4C09-B521-17F1B1AAE608,FAIR,3/1/2020,,,Normal Operations,1/6/2023,TRUE,TRUE,TRUE,,,TRUE,14769,RE,H,U,U,Paved,Car,0,,0,,0,,,,,608,376,4,1,FALSE,,,,,S,"Hawaii Dept of Hawaiian Home Lands, Hawaii Dept of Land & Natural Resources"
HI00049,HA-0049,KEAIWA RESERVOIR,NA,N,N,,Active,Hawaii,Hawaii,HI,19.248499,-155.499877,No,FED BY IRR. FLUME,Irrigation,FALSE,Pahala,(3) 9-6-007:001,Earthen,,(3) 9-6-007:002,MIDDLE & LOWER MOAULA CAMP,1,,1920,,Small,32,,600,32,Low,32,32,48,42.4,1.85,0.00294,0.001589189,Channel,Uncontrolled,13,81,Concrete,13,13,Valve,FALSE,Walk,3.8,Downstream,12 Inch DIP,11,12,90,Concrete,24,Vegetation,State Regulated Dam,4/13/2018,5,6/1/2009,TRUE,7/3/2023 14:53,Hawaii Keaiwa,Y,7/3/2023 14:53,,2,2nd Congressional District,Jill Tokuda,Democratic ,,,,,,DLNR,X,U,32,48,0,0,0,,,,,,,,,HI,,https://dams.hawaii.gov/DamInformation.aspx?id=1DDE8C8A-DFBA-431C-A059-0D0F87568F99,UNSATISFACTORY,3/1/2020,,,"Under Investigation, Planning, Permitting, or Design for Remediation",1/6/2023,TRUE,TRUE,TRUE,,,TRUE,14773,RE,L,U,V,Unpaved,4x4,0,,1,2/1/2022,1,7/31/2013,0,,6/9/2022,0,16,0,0,FALSE,,,,,P,Edmund C. Olson Trust No. II
HI00051,HA-0051,HAWI NO. 5 RESERVOIR,NA,N,N,,Active,Hawaii,Hawaii,HI,20.247016,-155.843758,No,FED BY IRRIGATION DITCH,Other,FALSE,Hualua,(3) 5-5-007:005,Earthen,,(3) 5-5-007:010,HOEA CAMP,1,,1930,,Small,20,,1500,20,High,24,20,55,55,10.6,,0,Pipe,Uncontrolled,2,,Concrete,31,0,Slide (sluice gate),FALSE,Walk,,Downstream,"12""",0,16,28,Dumped Rock,25,Vegetation,State Regulated Dam,6/23/2022,5,6/1/2009,TRUE,8/8/2022 12:30,Hawaii DOA,Y,8/8/2022 12:30,,2,2nd Congressional District,Jill Tokuda,Democratic ,,,,,,DLNR,X,U,24,55,0,0,0,,,,,,,,,HI,,https://dams.hawaii.gov/DamInformation.aspx?id=7B1979D2-C70A-420B-803E-873285E24810,POOR,3/1/2020,,,"Under Investigation, Planning, Permitting, or Design for Remediation",1/6/2023,TRUE,TRUE,TRUE,,,TRUE,14774,RE,H,U,S,Unpaved,4x4,0,,0,,0,,0,,8/26/2022,1,8,1,0,FALSE,,,,,S,"Hualua Farm, LLC, State of Hawaii, Dept of Agriculture"
HI00122,HA-0122,WAIKOLOA RESERVOIR NO. 2,NA,N,Y,WAIKOLOA 50 MG RESERVOIR 2,Active,Hawaii,Hawaii,HI,20.038917,-155.675203,Yes,Kohakohau Stream,Water Supply,FALSE,Waikoloa,(3) 6-5-001:011,Earthen,,,WAIMEA,1,,1975,,Small,35,,2000,30.5,High,35,35,190,157,7.3,0.0114,0.001561644,Tunnel,Uncontrolled,4.5,250,Concrete,71,5,Valve,TRUE,Walk,,Downstream,12 in valve,0,18,26,Concrete,26,Mowed Grass,State Regulated Dam,4/28/2022,5,6/1/2009,TRUE,6/8/2023 15:25,Hawaii DWS,Y,6/8/2023 15:25,,2,2nd Congressional District,Jill Tokuda,Democratic ,,3360.5,3355,,,DLNR,X,U,35,190,0,0,0,,,,,,,,,HI,,https://dams.hawaii.gov/DamInformation.aspx?id=9A6285B9-D0BB-418D-BE90-89C6A836275D,FAIR,3/1/2020,,,"Under Investigation, Planning, Permitting, or Design for Remediation",1/6/2023,TRUE,TRUE,TRUE,,,TRUE,14841,RE,H,U,V,Paved,Car,0,,0,,0,,,,,934,532,2,1,FALSE,,,,,L,"Hawaii County, Dept of Water Supply"
HI00123,HA-0123,PUU PULEHU RESERVOIR,NA,N,N,,Active,Hawaii,Hawaii,HI,20.039397,-155.599298,No,UPPER HAMAKUA DITCH OFF STREAM,Irrigation,FALSE,Waiulili,(3) 6-4-003:015,Earthen,,,KUKUIHAELE,6,,1910,1991,Small,21,,400,20,High,21,21,445,338,25.7,0.65,0.025291829,Channel,Uncontrolled,30,93,Bare Soil,250,7,Valve,FALSE,Walk,,Downstream,18 in pipe,17,10.5,28,Fabric Liner,36,Vegetation,State Regulated Dam,6/21/2022,5,6/1/2009,TRUE,7/22/2022 14:48,Hawaii DOA,Y,7/22/2022 14:48,,2,2nd Congressional District,Jill Tokuda,Democratic ,,,,,,DLNR,X,U,21,445,0,0,0,,,,,,,,,HI,,https://dams.hawaii.gov/DamInformation.aspx?id=1C339904-4216-45D9-AFF4-20EDEA1DC7B0,POOR,3/1/2020,,,"Under Investigation, Planning, Permitting, or Design for Remediation",1/6/2023,TRUE,TRUE,TRUE,,,TRUE,14842,RE,H,U,V,Paved,Car,0,,1,12/20/2021,0,,,,8/30/2023,36,247,1,0,FALSE,,,,,S,"State of Hawaii, Dept of Agriculture"
HI00131,HA-0131,PAAUILO RESERVOIR,NA,N,N,,Active,Hawaii,Hawaii,HI,20.046966,-155.386976,No,OFFSTREAM,Irrigation,FALSE,Pohakuhaku,(3) 4-3-004:009,Earthen,,,PAAUILO,,,1975,,Small,34,,1092,34,High,33,34,46,35,2.8,0.06,0.021428571,Channel,Uncontrolled,24,100,Concrete,24,24,Slide (sluice gate),FALSE,Walk,,Upstream control,16 inch,21,18,21,HDPE Liner,30,Vegetation,State Regulated Dam,7/22/2022,5,3/1/2020,TRUE,7/28/2022 11:30,Hawaii DOA,Y,7/28/2022 11:30,,2,2nd Congressional District,Jill Tokuda,Democratic ,,,,,,DLNR,X,U,34,46,0,0,0,USDA NRCS,USDA NRCS,USDA NRCS,,,,,,HI,,https://dams.hawaii.gov/DamInformation.aspx?id=C81BAB17-A1B1-4E59-9A0C-F30C99BB2A36,POOR,3/1/2020,,,"Under Investigation, Planning, Permitting, or Design for Remediation",1/6/2023,TRUE,TRUE,TRUE,,,TRUE,14850,RE,H,U,S,Gravel,4x4,0,,0,,0,,,,4/5/2021,0,12,0,0,FALSE,,,,,S,"State of Hawaii, Dept of Agriculture"
HI00136,HA-0136,WAIKOLOA RESERVOIR NO. 3,NA,N,N,WAIKOLOA 50 MG RESERVOIR 3,Active,Hawaii,Hawaii,HI,20.034355,-155.669474,No,Waikoloa - Off Stream,Water Supply,FALSE,Waikoloa,(3) 6-5-001:020,Earthen,,(3) 6-5-001:003,,,,1985,,Intermediate,0,,1500,54,High,0,0,190,153,7.25,0.011,0.001517241,Tunnel,Uncontrolled,5,,Concrete,70,5,Valve,TRUE,Walk,,Downstream,12 in,25,19,25,Concrete,26,Mowed Grass,State Regulated Dam,4/28/2022,5,6/1/2009,TRUE,6/8/2023 15:26,Hawaii DWS,Y,6/8/2023 15:26,,2,2nd Congressional District,Jill Tokuda,Democratic ,,,,,,DLNR,X,U,54,190,0,0,0,,,,,,,,,HI,,https://dams.hawaii.gov/DamInformation.aspx?id=C62DC98A-EFF0-426A-ABFD-130442C572F0,FAIR,3/1/2020,,,"Under Investigation, Planning, Permitting, or Design for Remediation",1/6/2023,TRUE,TRUE,TRUE,,,TRUE,14854,RE,H,U,V,Paved,Car,0,,0,,0,,,,,533,260,0,0,FALSE,,,,,L,"Hawaii County, Dept of Water Supply"
HI00147,HA-0147,PUNAWAI RESERVOIR,NA,N,Y,,Active,Hawaii,Hawaii,HI,20.126261,-155.774432,Yes,,Irrigation,FALSE,Keawanui,(3) 5-9-002:004,Earthen,,,Waimea,9.5,,1970,2006,Small,0,,650,38,High,0,0,30,29,2.25,0.02,0.008888889,Channel,Uncontrolled,15,,HDPE Liner,100,2,Valve,FALSE,Walk,,Downstream,2 x 4 inch pipe,0,17,25,HDPE Liner,27.5,Vegetation,State Regulated Dam,6/23/2022,5,,TRUE,8/23/2021 9:06,Hawaii Punawai,Y,8/23/2021 9:06,,2,2nd Congressional District,Jill Tokuda,Democratic ,,,,,,DLNR,X,U,38,30,0,0,0,,,,,,,,,HI,,https://dams.hawaii.gov/DamInformation.aspx?id=BFC91051-7C7E-4705-A20A-59A8368F1126,FAIR,3/1/2020,,,Normal Operations,1/6/2023,TRUE,TRUE,TRUE,,,TRUE,14865,RE,H,U,V,Unpaved,4x4,0,,0,,0,,,,3/5/2014,16,96,0,0,FALSE,,,,,P,"Ponoholo Ranch, Ltd."
