"SKN","Station.Name","Observer","Network","Island","ELEV.m.","LAT","LON","NCEI.id","NWS.id","NESDIS.id","SCAN.id","SMART_NODE_RF.id","X2021.07.01","X2021.07.02","X2021.07.03","X2021.07.04","X2021.07.05","X2021.07.06","X2021.07.07","X2021.07.08","X2021.07.09","X2021.07.10","X2021.07.11","X2021.07.12","X2021.07.13","X2021.07.14","X2021.07.15","X2021.07.16","X2021.07.17","X2021.07.18","X2021.07.19","X2021.07.20","X2021.07.21","X2021.07.22","X2021.07.23","X2021.07.24","X2021.07.25","X2021.07.26","X2021.07.27","X2021.07.28","X2021.07.29","X2021.07.30","X2021.07.31"
2.32,"SOUTH KONA 2 2.32","COOP","COOP","BI",647,19.10778,-155.78944,"USC00518652",NA,NA,NA,NA,1.5,0,NA,1,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,0.5,NA,NA,NA,0,0,0,0,1.3,0.8,0,0.8,0.5,NA,0
2.34,"MILOLII 2.34","COOP","COOP","BI",280,19.186302,-155.886763,"USC00516304",NA,NA,NA,NA,NA,0,2.3,0.3,8.9,NA,6.6,5.1,0.3,NA,NA,NA,NA,10.4,0.5,0,3.8,1.3,2.3,NA,0,6.1,1.5,0,2.5,10.4,5.8,3,NA,NA,2.5
2.36,"KAPUA 2.36","COOP","COOP","BI",533,19.14472,-155.84944,"USC00513376",NA,NA,NA,NA,NA,0,0,NA,NA,1,NA,NA,NA,NA,6.1,NA,0,NA,1,0,0,4.6,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.22,"HAWAIIAN OCEAN VIEW 4.7 NNE","HAWAIIAN OCEAN VIEW 4.7 NNE","CoCoRaHS","BI",1273,19.135,-155.747,"US1HIHI0035",NA,NA,NA,NA,0.5,NA,NA,NA,0.5,NA,2.3,NA,4.6,0.5,0.5,NA,0,0.3,1.3,0.5,0.5,NA,0.5,0,0,0,0.8,0.5,NA,3.8,0.5,2,0.8,0.5,0.3
3.9,"LOWER KAHUKU CS","LOWER KAHUKU CS","RAWS","BI",953.7192,19.10083333,-155.6697222,NA,"LKHH1","32D620C2",NA,NA,4.82600000000002,5.84199999999993,2.286,5.84200000000004,6.096,11.938,3.81,NA,1.524,NA,0.508000000000038,3.81,0.254000000000019,8.12799999999993,1.27000000000004,1.27000000000004,NA,9.65199999999999,NA,8.88999999999999,NA,NA,NA,5.58799999999997,NA,NA,NA,9.14400000000001,3.55599999999993,7.11200000000008,0.253999999999905
4.14,"NAALEHU 4.7 WSW, HI US","CoCoRaHs","CoCoRaHs","BI",393.18,19.0421,-155.6371,"US1HIHI0057",NA,NA,NA,NA,3,0,0,NA,NA,15.2,NA,NA,1.3,0.5,2.5,0.5,0,0.5,0,0,0,0,0,0,0,0,2.5,0,1.3,6.9,1.5,1.5,4.1,1.5,4.1
4.15,"SOUTH POINT NEAR NAALEHU 12SSW","NWS","STATE","BI",295.78,18.9928,-155.668,NA,"SOPH1","B1507246",NA,NA,NA,0,0,NA,1.524,NA,0.508,NA,0,0,0,0.254,0,0,0,0,0,0,NA,0,NA,NA,0.254,0,0.762,NA,0,0.254,NA,2.794,NA
6.2,"NAALEHU 5.7 W","NAALEHU 5.7 W","CoCoRaHS","BI",679,19.0732,-155.6632,"US1HIHI0012",NA,NA,NA,NA,7.1,4.3,2.8,6.1,6.6,12.2,4.6,4.3,0.5,1.3,0,5.1,10.2,2,2.5,0.8,0.5,8.6,7.6,1,0,1,4.3,10.2,5.6,0.68255736736076,0,6.9,10.2,3.6,6.4
9.2,"Nene Cabin","Nene Cabin","RAWS","BI",1991.7737,19.2564,-155.6144,NA,"NENH1","32D64524",NA,NA,0,0,0.253999999999962,1.52400000000006,0,NA,1.01599999999996,0.253999999999962,NA,10.16,0,0.507999999999981,0,0.508000000000038,0,0,1.01600000000002,0.507999999999981,NA,1.26999999999998,NA,NA,0,NA,NA,NA,0.253999999999962,0.508000000000095,0,0,0
12.15,"SEA MOUNTAIN 12.15","SEA MOUNTAIN","COOP","BI",21,19.13310292,-155.5152744,"USC00518600",NA,NA,NA,NA,0.32819461738337,0,0,0,0,4.83655060044,1.87128633106212,4.8,0.690935800062858,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.431834875039286,0,0,0,0,0.690935800062858
14,"NAALEHU 14","KAU SUGAR","COOP","BI",206,19.06032754,-155.5855501,"USC00516588",NA,NA,NA,NA,0.5,0,0,2.23424443559478,2.41737922539763,5.6,2.76817448359049,4.8,0.8,0,0,2.4468998443362,0,0,0,0,0,3.14991838460903,0,0,0,0,0,3.73594971197815,0,0.5,0,2.52726009927934,3.73594971197815,0.5,0.8
21,"Pahala","KAU SUGAR","HydroNet-UaNet","BI",346.8624,19.2042999,-155.4872,"USC00517421","PPLH1","B16084B2",NA,NA,0.141238112042308,0,0,0,1.01600000000008,3.30199999999996,9.90600000000006,3.55599999999998,9.65199999999999,3.30199999999996,0.254000000000019,1.01600000000002,0.253999999999962,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
21.3,"PAHALA MAUKA 21.3","COOP","COOP","BI",332,19.20667,-155.48861,"USC00517437",NA,NA,NA,NA,0.3,0,0,0,0.712200120566694,5.54541638964506,2.5,8.6,7.22743914506927,1.5431002612277,0.118700020094449,1.3801898232919,0.118700020094422,0,0.3,0,0,0,0,0,0,0,0,0,0,0.288461249803885,0,0,0,0.192307499869257,0.461537999686216
23,"KAHUKU","RAWS","RAWS","BI",1796.4912,19.23222222,-155.78,NA,"KRCH1","32639544",NA,NA,0.507999999999925,0.254000000000019,0.762000000000057,5.08000000000004,0.761999999999944,4.572,6.60399999999993,3.81000000000006,1.524,7.62,4.31799999999998,2.28599999999994,11.176,1.01599999999996,0,0,0,5.58800000000008,NA,2.03200000000004,NA,NA,NA,0,NA,4.06400000000008,1.26999999999998,5.08000000000004,3.048,0.507999999999925,0.254000000000133
26.2,"KEALAKEKUA 26.2","GREENWELL ESTATE","COOP","BI",442,19.48975723,-155.9122125,"USC00513977",NA,NA,NA,NA,0.468973063043232,1.5,0,1.40691918912969,1.87589225217461,NA,NA,NA,4.6,0.8,6.09664981956454,0.937946126087303,3.95018508196422,2.57935184673946,1.53907103005683,0.8,7.70196958631175,NA,NA,3.59644249070356,0,2.17449951558896,2,0.8,3.2828114413043,NA,10.7637726021654,7.81069456209161,8.70103528111584,3.79035036629661,8.4
