"SKN","Station.Name","Observer","Network","Island","ELEV.m.","LAT","LON","NCEI.id","NWS.id","NESDIS.id","SCAN.id","SMART_NODE_RF.id","X2021.11.01","X2021.11.02","X2021.11.03","X2021.11.04","X2021.11.05","X2021.11.06","X2021.11.07","X2021.11.08","X2021.11.09","X2021.11.10","X2021.11.11","X2021.11.12","X2021.11.13","X2021.11.14","X2021.11.15","X2021.11.16","X2021.11.17","X2021.11.18","X2021.11.19","X2021.11.20","X2021.11.21","X2021.11.22","X2021.11.23","X2021.11.24","X2021.11.25","X2021.11.26","X2021.11.27","X2021.11.28","X2021.11.29","X2021.11.30"
2.32,"SOUTH KONA 2 2.32","COOP","COOP","BI",647,19.10778,-155.78944,"USC00518652",NA,NA,NA,NA,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0.5,NA,NA,NA,4.1,NA,0,0,0,0,0,NA,0,0,0,8.4,NA
2.36,"KAPUA 2.36","COOP","COOP","BI",533,19.14472,-155.84944,"USC00513376",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,3.3,5.8,NA,0,0,0,NA,0,0,0,0,0,0.8,10.9
3.22,"HAWAIIAN OCEAN VIEW 4.7 NNE","HAWAIIAN OCEAN VIEW 4.7 NNE","CoCoRaHS","BI",1273,19.135,-155.747,"US1HIHI0035",NA,NA,NA,NA,0,0,0,0,2,0,0.5,0.3,0,0,0,0,0,0.5,NA,NA,NA,NA,1,0.5,0,0,0,0,0,0,NA,0.8,4.6,17.5
3.9,"LOWER KAHUKU CS","LOWER KAHUKU CS","RAWS","BI",953.7192,19.10083333,-155.6697222,NA,"LKHH1","32D620C2",NA,NA,0,0,0,NA,NA,0,0,NA,0,NA,0.762000000000057,0.508000000000038,NA,1.2700000000001,4.82599999999991,7.87400000000002,NA,NA,NA,0,NA,6.35000000000002,NA,0.507999999999925,5.8420000000001,1.01599999999996,2.28599999999994,0.254000000000019,1.77800000000002,13.208
4.12,"NAALEHU 4.6 WSW","NAALEHU 4.6 WSW","CoCoRaHS","BI",391,19.0424,-155.6354,"US1HIHI0001",NA,NA,NA,NA,0,0,0,0,0,0,0,9.7,0,1.5,0,0,0,NA,0.8,5.1,16.3,28.2,6.9,0,1.3,0,7.9,0,0.8,2,0,1.5,4.1434521646627,5.1
4.14,"NAALEHU 4.7 WSW, HI US","CoCoRaHs","CoCoRaHs","BI",393.18,19.0421,-155.6371,"US1HIHI0057",NA,NA,NA,NA,0,0,0,0,0,0,0,1.3,0,1.3,0,0,0,NA,1,4.1,14.5,25.9,5.1,0.3,1.3,0,6.6,0.5,NA,2.5,0.3,1.8,0.5,5.3
4.15,"SOUTH POINT NEAR NAALEHU 12SSW","NWS","STATE","BI",295.78,18.9928,-155.668,NA,"SOPH1","B1507246",NA,NA,0,0,0,0,0,0,0,0,0,0.508,0,0,NA,NA,7.874,5.588,NA,13.716,NA,0.508,0.762,2.54,NA,0,0.762,NA,2.032,0.508,0.254,NA
6.2,"NAALEHU 5.7 W","NAALEHU 5.7 W","CoCoRaHS","BI",679,19.0732,-155.6632,"US1HIHI0012",NA,NA,NA,NA,0,0,0,0,9.4,0,0,1.8,0,1,0,2.3,0.3,NA,0.5,5.1,8.4,27.9,3.8,0.3,2.24360924976471,0,9.29737632210872,0,9.7,7.1,0.8,0.5,5.6,6.6
9.2,"Nene Cabin","Nene Cabin","RAWS","BI",1991.7737,19.2564,-155.6144,NA,"NENH1","32D64524",NA,NA,0,0,0.254000000000019,2.03200000000004,0,0,0,0,0,NA,0,0,0.507999999999925,0,NA,NA,NA,NA,NA,0,0,0,0.2540283203125,0,0.254000000000019,0,0,0.254000000000019,5.079956055,NA
12.15,"SEA MOUNTAIN 12.15","SEA MOUNTAIN","COOP","BI",21,19.13310292,-155.5152744,"USC00518600",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.5,2.59100925023572,13.2,31,0,0,0,0,0,0,0,0,0,2,3.8,5.6
