"SKN","Station.Name","Observer","Network","Island","ELEV.m.","LAT","LON","NCEI.id","NWS.id","NESDIS.id","SCAN.id","SMART_NODE_RF.id","X2020.03.01","X2020.03.02","X2020.03.03","X2020.03.04","X2020.03.05","X2020.03.06","X2020.03.07","X2020.03.08","X2020.03.09","X2020.03.10","X2020.03.11","X2020.03.12","X2020.03.13","X2020.03.14","X2020.03.15","X2020.03.16","X2020.03.17","X2020.03.18","X2020.03.19","X2020.03.20","X2020.03.21","X2020.03.22","X2020.03.23","X2020.03.24","X2020.03.25","X2020.03.26","X2020.03.27","X2020.03.28","X2020.03.29","X2020.03.30","X2020.03.31"
2.32,"SOUTH KONA 2 2.32","COOP","COOP","BI",647,19.10778,-155.78944,"USC00518652",NA,NA,NA,NA,0,0,NA,NA,NA,7.4,NA,NA,NA,NA,2.8,NA,NA,3.6,NA,0,NA,54.4,1.5,16.8,NA,NA,1.5,NA,0,1.8,NA,NA,NA,14.2,10.7
2.34,"MILOLII 2.34","COOP","COOP","BI",280,19.186302,-155.886763,"USC00516304",NA,NA,NA,NA,5.3,0,NA,NA,NA,3.3,NA,1.3,NA,0,NA,NA,NA,0.5,3.3,0,NA,96.5,6.1,NA,9.1,3.8,NA,1.3,0,0.8,4.3,9.1,NA,NA,NA
2.36,"KAPUA 2.36","COOP","COOP","BI",533,19.14472,-155.84944,"USC00513376",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,9.4,0,NA,0,NA,2.5,0,NA,6.6,0,NA,63,4.1,17.5,NA,7.9,NA,3.3,0,0,NA,3,0.5,NA,8.1
3.22,"HAWAIIAN OCEAN VIEW 4.7 NNE","HAWAIIAN OCEAN VIEW 4.7 NNE","CoCoRaHS","BI",1273,19.135,-155.747,"US1HIHI0035",NA,NA,NA,NA,NA,0,0.5,1.8,NA,8.6,1.3,0,NA,0.8,1.5,1.5,NA,2,1,NA,NA,104.1,2.5,8.9,1.8,11.4,0.8,NA,NA,0.8,NA,3,2.5,NA,NA
3.9,"LOWER KAHUKU CS","LOWER KAHUKU CS","RAWS","BI",953.7192,19.10083333,-155.6697222,NA,"LKHH1","32D620C2",NA,NA,0,0,7.36599999999999,4.31799999999998,NA,3.81000000000017,NA,0,8.12799999999993,2.54000000000019,5.58799999999997,1.26999999999998,4.31799999999998,1.01599999999985,1.01600000000008,2.03199999999993,NA,NA,NA,NA,1.77799999999979,10.6679999999999,10.1600000000003,0.507999999999811,0,0,4.06399999999985,4.57200000000034,NA,8.88999999999987,3.30199999999991
4.12,"NAALEHU 4.6 WSW","NAALEHU 4.6 WSW","CoCoRaHS","BI",391,19.0424,-155.6354,"US1HIHI0001",NA,NA,NA,NA,0,0,9.9,13,15,0.5,0.5,0,0,0.8,2.3,1.5,0,7.4,1.8,2.8,NA,135.4,0.8,14.5,5.8,4.6,3.4035499924015,0,0,0,0,5.1,1.5,5.1,0.5
4.14,"NAALEHU 4.7 WSW, HI US","CoCoRaHs","CoCoRaHs","BI",393.18,19.0421,-155.6371,"US1HIHI0057",NA,NA,NA,NA,0,0,NA,NA,11.2,0.5,0,0,0,0.8,2.3,1.3,0,6.6,2,2.5,NA,126.2,0.5,14,3.8,4.6,NA,0,0,0,0,3.8,1.3,5.6,1.3
4.15,"SOUTH POINT NEAR NAALEHU 12SSW","NWS","STATE","BI",295.78,18.9928,-155.668,NA,"SOPH1","B1507246",NA,NA,0,0,3.302,6.096,NA,0,0,0,0,NA,NA,1.016,0,0.762,0.254,0.762,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
6.2,"NAALEHU 5.7 W","NAALEHU 5.7 W","CoCoRaHS","BI",679,19.0732,-155.6632,"US1HIHI0012",NA,NA,NA,NA,0,0,15.6998308637217,12.2,8.9,0.3,1.5,0,0,8.6,7.1,4.63120156436956,5.1,4.8,1.8,3,NA,81.3,2.5,14.2,4.1,1.8,4.6,2.5,0,0,0,5.6,3.3,11.4,9.4
9.2,"Nene Cabin","Nene Cabin","RAWS","BI",1991.7737,19.2564,-155.6144,NA,"NENH1","32D64524",NA,NA,0,0,NA,NA,8.88999999999987,1.26999999999998,0,0,1.52400000000011,1.77800000000002,1.2698974625,1.01599999999985,NA,0.762000000000171,1.77800000000002,1.01599999999985,42.1640000000002,NA,2.79399999999987,NA,NA,2.7940000000001,2.79399999999987,NA,3.80999999999995,0.761999999999944,6.85800000000017,6.60400000000004,13.97,7.8739999999998,8.8900000000001
12.15,"SEA MOUNTAIN 12.15","SEA MOUNTAIN","COOP","BI",21,19.13310292,-155.5152744,"USC00518600",NA,NA,NA,NA,0.3,0.3,19.2109076607871,NA,NA,0,0,0,0.3,0.3,0.3,0.3,0.187128633106212,5.00928455045572,0.3,0,NA,73.7,1.17747080790657,6.99572497563643,6.39115615058143,0,0,0,0,0,0,7.85939472571501,NA,0.5,NA
14,"NAALEHU 14","KAU SUGAR","COOP","BI",206,19.06032754,-155.5855501,"USC00516588",NA,NA,NA,NA,0,0,13.2,10.9038052054052,10.6851642595088,0,0,0,0,0.3,0.3,5.3,0,5.8,1.14933769327771,1.65658458156032,NA,119.9,0.3,8.1,7.4,1.9575981179572,1.68484006618623,0,0,0,0,9.1,1.95122611280062,4.6,3.6904462149942
21,"Pahala","KAU SUGAR","HydroNet-UaNet","BI",346.8624,19.2042999,-155.4872,"USC00517421","PPLH1","B16084B2",NA,NA,0,0,80.518,8.49882712717345,0.253999999999451,0,0,0,0,0,9.14400000000023,5.52869168776375,7.36599999999999,4.31800000000021,2.53999999999996,NA,118.872,NA,5.84199999999964,16.5100000000002,9.39800000000014,0,0,0,0,0,3.80999999999995,7.11200000000008,5.84199999999964,1.26999999999998,19.0500000000002
21.3,"PAHALA MAUKA 21.3","COOP","COOP","BI",332,19.20667,-155.48861,"USC00517437",NA,NA,NA,NA,0.133597940545049,0.133597940545049,36.1,NA,0.356100060282549,0.8,0,0,0.133597940545049,0,4.52218316386654,9.9,0.5,6.37300101013343,1.98089721223414,0,166.654828212593,118.403848793822,2.8,16.2463242060309,10.857077612339,0,0,0,0,0,2.67075045212486,10.2353955903972,8.19030138651584,2.5853923335111,26.7075045212492
