,ELEV.m.,Island,LAT,LON,NCEI.id,NESDIS.id,NWS.id,Network,Observer,SCAN.id,SKN,SMART_NODE_RF.id,Station.Name,UID
0,957.0,BI,19.1089,-155.7467,USC00512566,,,COOP,COOP,,2.1_R,,KAHUKU MAUKA,19.108900_-155.746700
1,647.0,BI,19.107779999999998,-155.78943999999998,USC00518652,,,COOP,COOP,,2.32_R,,SOUTH KONA 2 2.32,19.107780_-155.789440
2,280.0,BI,19.186301999999998,-155.886763,USC00516304,,,COOP,COOP,,2.34_R,,MILOLII 2.34,19.186302_-155.886763
3,533.0,BI,19.14472,-155.84944,USC00513376,,,COOP,COOP,,2.36_R,,KAPUA 2.36,19.144720_-155.849440
4,1273.0,BI,19.135,-155.747,US1HIHI0035,,,CoCoRaHS,HAWAIIAN OCEAN VIEW 4.7 NNE,,3.22_R,,HAWAIIAN OCEAN VIEW 4.7 NNE,19.135000_-155.747000
5,238.0,BI,19.4594,-155.8938,US1HIHI0019,,,CoCoRaHS,CAPTAIN COOK 2.9 SSE,,3.23_R,,CAPTAIN COOK 2.9 SSE,19.459400_-155.893800
6,953.7192,BI,19.10083333,-155.6697222,,32D620C2,LKHH1,RAWS,LOWER KAHUKU CS,,3.9_R,,LOWER KAHUKU CS,19.100833_-155.669722
7,391.0,BI,19.0424,-155.6354,US1HIHI0001,,,CoCoRaHS,NAALEHU 4.6 WSW,,4.12_R,,NAALEHU 4.6 WSW,19.042400_-155.635400
8,436.0,BI,19.0424,-155.643,US1HIHI0010,,,CoCoRaHS,NAALEHU 5.0 WSW,,4.13_R,,NAALEHU 5.0 WSW,19.042400_-155.643000
9,393.18,BI,19.0421,-155.6371,US1HIHI0057,,,CoCoRaHs,CoCoRaHs,,4.14_R,,"NAALEHU 4.7 WSW, HI US",19.042100_-155.637100
10,317.0,BI,19.01361,-155.66194,USC00513054,,,COOP,COOP,,5.1_R,,Kamaoa Puueo 5.1,19.013610_-155.661940
11,587.0,BI,19.07032619,-155.6355484,USC00514625,,,COOP,STATE DIV FTRY,,6.0_R,,KIOLAKAA A&F 6,19.070326_-155.635548
12,679.0,BI,19.0732,-155.6632,US1HIHI0012,,,CoCoRaHS,NAALEHU 5.7 W,,6.2_R,,NAALEHU 5.7 W,19.073200_-155.663200
13,710.4888,BI,19.34805556,-155.1258333,,32D64524,AHMH1,RAWS,Nene Cabin,,9.2_R,,Nene Cabin,19.348056_-155.125833
14,21.0,BI,19.13310292,-155.51527439999998,USC00518600,,,COOP,SEA MOUNTAIN,,12.15_R,,SEA MOUNTAIN 12.15,19.133103_-155.515274
15,206.0,BI,19.06032754,-155.5855501,USC00516588,,,COOP,KAU SUGAR,,14.0_R,,NAALEHU 14,19.060328_-155.585550
16,346.8624,BI,19.2042999,-155.4872,USC00517421,B16084B2,PPLH1,HydroNet-UaNet,KAU SUGAR,,21.0_R,,Pahala,19.204300_-155.487200
17,332.0,BI,19.206670000000003,-155.48861000000002,USC00517437,,,COOP,COOP,,21.3_R,,PAHALA MAUKA 21.3,19.206670_-155.488610
18,733.03,BI,19.0908,-155.7552,US1HIHI0059,,,CoCoRaHs,CoCoRaHs,,21.4_R,,"HAWAIIAN OCEAN VIEW 1.7 NNE, HI US",19.090800_-155.755200
19,1796.4912,BI,19.23222222,-155.78,,32639544,KRCH1,RAWS,RAWS,,23.0_R,,KAHUKU,19.232222_-155.780000
20,396.0,BI,19.27032215,-155.8738768,USC00517166,,,COOP,TRUMAN LORNA,,24.1_R,,OPIHIHALE 2 24.1,19.270322_-155.873877
21,442.0,BI,19.48975723,-155.9122125,USC00513977,,,COOP,GREENWELL ESTATE,,26.2_R,,KEALAKEKUA 26.2,19.489757_-155.912213
22,332.0,BI,19.4403158,-155.87887890000002,USC00511665,,,COOP,TANAKA S,,27.0_R,,HONAUNAU 27,19.440316_-155.878879
23,398.0688,BI,19.462900199999996,-155.8824,,15D12742,HAUH1,HydroNet-UaNet,NWS,,27.6_R,,Honaunau No. 2,19.462900_-155.882400
24,122.0,BI,19.46864784,-155.9055458,USC00516697,,,COOP,KONA EXP STATION,,28.0_R,,NAPOOPOO 28,19.468648_-155.905546
25,537.972,BI,19.518100699999998,-155.9159,,81708572,KLEH1,HydroNet-UaNet,NWS,,29.12_R,,Kealakekua,19.518101_-155.915900
26,638.556,BI,19.275499300000003,-155.4514,USC00513300,B16097C4,KAYH1,HydroNet-UaNet,NWS,,34.0_R,,Kapapala Ranch,19.275499_-155.451400
27,1081.0,BI,19.258110000000002,-155.441781,,AA10E258,KPRH1,RAWS,KAPAPALA RANCH,,36.3_R,,KAPAPALA RANCH,19.258110_-155.441781
28,29.5656,BI,19.29277778,-155.1075,,32807432,KMOH1,RAWS,KAELAKOMO,,38.9_R,,KAELAKOMO,19.292778_-155.107500
29,3397.0,BI,19.5362,-155.5763,USC00516198,,MOBH1,ESRL/GMD,NWS,,39.0_R,,Mauna Loa Observatory,19.536200_-155.576300
30,3341.0,BI,19.53863295,-155.5722206,,,,STATE,NWS,,39.1_R,,Mauna Loa Upper,19.538633_-155.572221
31,3398.0,BI,19.5354,-155.576,USW00021514,CD07379A,MLBH1,USCRN,MAUNA LOA 5 NNE,,39.2_R,,MAUNA LOA 5 NNE,19.535400_-155.576000
32,34.126,BI,20.025,-155.8211111,,32D61558,PHRH1,RAWS,PUHE CS,,43.3_R,,PUHE CS,20.025000_-155.821111
33,847.3439999999999,BI,19.3175,-155.29222219999997,USR0000HPAL,FA900222,PLIH1,RAWS,RAWS,,48.0_R,,PALI 2,19.317500_-155.292222
34,1682.496,BI,19.47361111,-155.3588889,USR0000HKMO,,HKMO,RAWS,RAWS,,49.0_R,,KEAUMO,19.473611_-155.358889
35,1210.0,BI,19.429741,-155.257146,USC00511303,,,COOP,HAW VOL NATL PARK,,54.0_R,,HAWAII VOLCNS NP HQ 54,19.429741_-155.257146
36,802.2336,BI,19.5076008,-155.1707,USC00510744,,GLNH1,HydroNet-UaNet,HELBUSH XL,,54.2_R,,Glenwood,19.507601_-155.170700
37,1202.0,BI,19.41528,-155.23833,,,,HavoNet,Thurston,,54.8_R,,Thurston,19.415280_-155.238330
38,1040.0,BI,19.47833,-155.215,,,,HavoNet,Ola a,,54.9_R,,Ola a,19.478330_-155.215000
39,1158.0,BI,19.4338,-155.2417,US1HIHI0040,,,CoCoRaHS,VOLCANO 4.4 S,,55.3_R,,VOLCANO 4.4 S,19.433800_-155.241700
40,671.0,BI,19.52194,-155.14389,USC00510746,,,COOP,COOP,,55.4_R,,GLENWOOD NO 2 55.4,19.521940_-155.143890
41,7.62,BI,19.67277778,-156.02027780000003,,FA667668,KHOH1,RAWS,RAWS,,63.0_R,,KALOKO-HONOKOHAU,19.672778_-156.020278
42,137.0,BI,19.5043,-154.9165,US1HIHI0003,,,CoCoRaHS,PAHOA 2.1 E,,65.4_R,,PAHOA 2.1 E,19.504300_-154.916500
