"SKN","Station.Name","Observer","Network","Island","ELEV.m.","LAT","LON","NCEI.id","NWS.id","NESDIS.id","SCAN.id","SMART_NODE_RF.id","X2019.09.01","X2019.09.02","X2019.09.03","X2019.09.04","X2019.09.05","X2019.09.06","X2019.09.07","X2019.09.08","X2019.09.09","X2019.09.10","X2019.09.11","X2019.09.12","X2019.09.13","X2019.09.14","X2019.09.15","X2019.09.16","X2019.09.17","X2019.09.18","X2019.09.19","X2019.09.20","X2019.09.21","X2019.09.22","X2019.09.23","X2019.09.24","X2019.09.25","X2019.09.26","X2019.09.27","X2019.09.28","X2019.09.29","X2019.09.30"
2.1,"KAHUKU MAUKA","COOP","COOP","BI",957,19.1089,-155.7467,"USC00512566",NA,NA,NA,NA,6.0785279969335,4.45035085489774,1.62817714203576,0.54272571401192,0,0,0,0,0,0,1.08545142802384,0,35.8198971247867,0,0,0,0,0,0.325635428407152,0,0,0,0,40.2702479796845,0.54272571401192,0.54272571401192,2.7136285700596,5.75289256852635,15.4134102779385,4.66744114050251
2.32,"SOUTH KONA 2 2.32","COOP","COOP","BI",647,19.10778,-155.78944,"USC00518652",NA,NA,NA,NA,5.6,4.1,1.5,0.5,0,0,0,0,0,0,1,0,33,0,0,0,0,0,0.3,0,0,0,0,37.1,0.5,0.5,2.5,5.3,14.2,4.3
2.34,"MILOLII 2.34","COOP","COOP","BI",280,19.186302,-155.886763,"USC00516304",NA,NA,NA,NA,0,6.6,48.8,15.7,0,17.5,40.6,0.8,0.5,0,0,0,0.8,0,0.8,0,4.6,3.3,0,11.7,0.5,1,0,0,23.1,1.8,0,0,0,2
2.36,"KAPUA 2.36","COOP","COOP","BI",533,19.14472,-155.84944,"USC00513376",NA,NA,NA,NA,0,3.8,46.2,35.1,0.8,4.6,3,1.3,0,0,6.6,0,0.5,0,0,0,9.9,8.6,1.5,17.3,0,0,0,13.2,0,8.4,14.2,0,36.1,1.3
3.22,"HAWAIIAN OCEAN VIEW 4.7 NNE","HAWAIIAN OCEAN VIEW 4.7 NNE","CoCoRaHS","BI",1273,19.135,-155.747,"US1HIHI0035",NA,NA,NA,NA,3,1,5.1,16,1.5,0,0,0,0,0,0.8,1.8,15.2,8.9,0.3,0,0,5.8,0.3,3.8,0,0,0.5,0,0,5.3,1.3,0,32.3,20.3
3.9,"LOWER KAHUKU CS","LOWER KAHUKU CS","RAWS","BI",953.7192,19.10083333,-155.6697222,NA,"LKHH1","32D620C2",NA,NA,2.02,1.75,2.03,2.53,0.25,0,0,0.25,0,0,4.81,1.01,0.25,6.1,0.25,6.1,4.57,7.11,4.04,0,0.76,4.83,20.06,0,0,3.55,0.5,13.96,3.8,4.05
4.12,"NAALEHU 4.6 WSW","NAALEHU 4.6 WSW","CoCoRaHS","BI",391,19.0424,-155.6354,"US1HIHI0001",NA,NA,NA,NA,10.2,0,0,1.5,0,0,0,0,0,0,0,1.5,0.5,0,2.5,0,4.6,5.8,3.8,6.9,0,0,10.7,22.1,1,0,1.8,0,7.6,0
4.13,"NAALEHU 5.0 WSW","NAALEHU 5.0 WSW","CoCoRaHS","BI",436,19.0424,-155.643,"US1HIHI0010",NA,NA,NA,NA,9.76026234108273,0.83666580120939,0,0.82833986104653,0,0,0,0,0,0,0,1.94389426265905,0.27611328701551,0,2.7611328701551,0,2.54024224054269,5.76868925308871,5.50090190623606,8.21680324718349,0,0,10.5941528289045,22.4115300608401,0.55222657403102,0,2.55578399551336,0,5.75869812489328,0
4.14,"NAALEHU 4.7 WSW, HI US","CoCoRaHs","CoCoRaHs","BI",393.18,19.0421,-155.6371,"US1HIHI0057",NA,NA,NA,NA,8.4,1.3,0,3.6,1.5,0,0,0,0,NA,0,0.8,0.8,0,3.8,0,4.3,5.1,2,7.1,0,0,10.2,17.8,NA,NA,NA,NA,NA,NA
4.15,"SOUTH POINT NEAR NAALEHU 12SSW","NWS","STATE","BI",295.78,18.9928,-155.668,NA,"SOPH1","B1507246",NA,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0.508,NA,1.016,NA,NA,NA,NA,0,0.762,NA,NA,0,0,NA,4.318,NA,0
