"SKN","Station.Name","Observer","Network","Island","ELEV.m.","LAT","LON","NCEI.id","NWS.id","NESDIS.id","SCAN.id","SMART_NODE_RF.id","X2023.11.22","X2023.11.24","X2023.11.25","X2023.11.26","X2023.11.27","X2023.11.28","X2023.11.29","X2023.11.30","X2023.11.01","X2023.11.02","X2023.11.03","X2023.11.04","X2023.11.05","X2023.11.06","X2023.11.07","X2023.11.08","X2023.11.09","X2023.11.10","X2023.11.11","X2023.11.12","X2023.11.13","X2023.11.14","X2023.11.15","X2023.11.16","X2023.11.17","X2023.11.18","X2023.11.19","X2023.11.20","X2023.11.21"
3.9,"LOWER KAHUKU CS","LOWER KAHUKU CS","RAWS","BI",953.7192,19.10083333,-155.6697222,NA,"LKHH1","32D620C2",NA,NA,0.507999999999925,0.762000000000057,6.35000000000002,1.26999999999987,2.54000000000008,0,32.258,43.1799999999999,3.30200000000008,4.572,0.253999999999962,0,2.03200000000004,0,0,4.06400000000002,0.508,10.6679999999999,8.63600000000008,0,0,0.254000000000019,15.4939999999999,3.81000000000006,1.01600000000008,3.55599999999993,2.03200000000004,0,3.048
4.15,"SOUTH POINT NEAR NAALEHU 12SSW","NWS","STATE","BI",295.78,18.9928,-155.668,NA,"SOPH1","B1507246",NA,NA,0,0,0,0,NA,NA,10.414,61.214,13.462,0,2.286,0,0,0,0,0,0,0,1.016,0,0,0,0.508,NA,0,0,0.508,0,2.286
9.2,"Nene Cabin","Nene Cabin","RAWS","BI",1991.7737,19.2564,-155.6144,NA,"NENH1","32D64524",NA,NA,4.572,0.253999999999905,3.80999999999995,0.508000000000038,0,1.52399999999989,59.436,46.482,0.254000000000133,0,0,0,0,0,0,0.508000000000038,0,1.01599999999985,1.77800000000002,0,0,2.54000000000019,0.508,0.507999999999811,0,1.016,0.508000000000038,0,2.03199999999993
12.16,"Kaiholena 0231","HiMesonet","HiMesonet","BI",631,19.16877,-155.57035,NA,"018HI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.24,5.842,0,0,0,0,0,14.224,0,0.254,1.778,0,0,0,0,0,0,15.494,0,NA,NA
21,"Pahala","KAU SUGAR","HydroNet-UaNet","BI",346.8624,19.2042999,-155.4872,"USC00517421","PPLH1","B16084B2",NA,NA,7.62,3.55600000000001,0,0,0.253999999999991,0.507999999999981,50.546,81.534,33.782,8.38200000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.286,0.253999999999991,0,13.97
23,"KAHUKU","RAWS","RAWS","BI",1796.4912,19.23222222,-155.78,NA,"KRCH1","32639544",NA,NA,0.253999999999905,0.762000000000171,5.33400000000006,6.85799999999995,0,0.253999999999905,38.354,58.1659999999999,0.254000000000133,0.508000000000038,0.253999999999905,0.254000000000133,1.52399999999989,0.254000000000133,1.26999999999998,0.508000000000038,0,1.01599999999985,2.7940000000001,2.03199999999993,0.253999999999905,1.01600000000008,5.33400000000006,3.048,4.57199999999989,0.254000000000133,0,0,2.79399999999987
23.1,"Kona Hema 0243","HiMesonet","HiMesonet","BI",1283,19.2068247,-155.8109802,NA,"035HI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.254,0.254,0,2.794,0,0,0.254,0,0,1.016,1.778,0,2.54,2.032,5.588,4.572,1.778,0,NA,NA
27.6,"Honaunau No. 2","NWS","HydroNet-UaNet","BI",398.0688,19.4629002,-155.8824,NA,"HAUH1","15D12742",NA,NA,0,0.254000000000019,16.002,0,0.253999999999991,0,19.304,24.13,4.06399999999999,0.254000000000005,3.048,0.507999999999996,1.27,9.652,0,1.01600000000001,10.16,0.50800000000001,13.97,2.794,8.89000000000001,17.018,5.07999999999998,3.30200000000002,9.90599999999998,0,0,0,0
29.12,"Kealakekua","NWS","HydroNet-UaNet","BI",537.972,19.5181007,-155.9159,NA,"KLEH1","81708572",NA,NA,6.09600000000023,0.254000000000133,0.254000000000133,2.53999999999974,0.508000000000038,0,16.51,24.1300000000001,0,1.52400000000011,6.096,0.253999999999905,1.26999999999998,19.8119999999999,0.254000000000133,0.254000000000133,12.4459999999999,0.253999999999905,13.2080000000001,1.77800000000002,7.11199999999963,4.82600000000025,13.7159999999999,4.06400000000008,14.732,0.253999999999905,0,0,0
34,"Kapapala Ranch","NWS","HydroNet-UaNet","BI",638.556,19.2754993,-155.4514,"USC00513300","KAYH1","B16097C4",NA,NA,12.7,8.1279999999997,2.7940000000001,0,5.07999999999993,0.762000000000171,49.53,61.2139999999999,16.5100000000002,5.33399999999983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55600000000004,0.254000000000133,0,9.90599999999995
36.3,"KAPAPALA RANCH","KAPAPALA RANCH","RAWS","BI",1081,19.25811,-155.441781,NA,"KPRH1","AA10E258",NA,NA,2.54000000000019,0.253999999999905,1.52399999999989,0,0,0.508000000000038,43.6879999999999,73.152,5.84199999999987,1.27000000000021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28599999999983,0.253999999999905,0,9.39800000000014
38.9,"KAELAKOMO","KAELAKOMO","RAWS","BI",29.5656,19.29277778,-155.1075,NA,"KMOH1","32807432",NA,NA,6.35000000000014,0.254000000000133,0.253999999999905,0,0,8.8900000000001,48.0059999999999,188.722,0.253999999999905,0,1.52400000000011,0,0,0,0.508000000000038,1.52399999999989,NA,0.508000000000038,0,0.761999999999944,0.508000000000038,0.508000000000038,5.33399999999983,0.508000000000266,0,1.26999999999975,0,0,9.14400000000001
39,"Mauna Loa Observatory","NWS","ESRL/GMD","BI",3397,19.5362,-155.5763,"USC00516198","MOBH1",NA,NA,NA,0,0,0,0,0,0.254,42.926,29.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43.3,"PUHE CS","PUHE CS","RAWS","BI",34.126,20.025,-155.8211111,NA,"PHRH1","32D61558",NA,NA,0,0.254000000000133,0,0,0,0,25.146,30.48,0,0,0,0,0,4.572,0,0,0,0.762000000000057,1.26999999999998,0,0,5.33399999999995,0,0.254000000000133,0,0,0,0,0
47,"KEMOKU LAVA FLOW","RAWS","RAWS","BI",1706.88,19.47555556,-155.3627778,"USR0000HKEA","KKUH1","FA4447E8",NA,NA,2.28600000000006,1.01599999999962,2.79400000000032,0,1.52399999999989,4.57200000000012,63.2460000000001,53.5940000000001,0,0.25400000000036,0,0,0,0,0,0,0,0,0,0,0,0.507999999999811,0.508000000000266,0,0,5.84199999999964,0.25400000000036,0,21.0819999999999
