"SKN","Station.Name","Observer","Network","Island","ELEV.m.","LAT","LON","NCEI.id","NWS.id","NESDIS.id","SCAN.id","SMART_NODE_RF.id","X2021.07.01","X2021.07.02","X2021.07.03","X2021.07.04","X2021.07.05","X2021.07.06","X2021.07.07","X2021.07.08","X2021.07.09","X2021.07.10","X2021.07.11","X2021.07.12","X2021.07.13","X2021.07.14","X2021.07.15","X2021.07.16","X2021.07.17","X2021.07.18","X2021.07.19","X2021.07.20","X2021.07.23","X2021.07.24","X2021.07.25","X2021.07.26","X2021.07.27","X2021.07.28","X2021.07.29","X2021.07.30","X2021.07.31"
3.9,"LOWER KAHUKU CS","LOWER KAHUKU CS","RAWS","BI",953.7192,19.10083333,-155.6697222,NA,"LKHH1","32D620C2",NA,NA,4.82600000000002,5.84199999999993,2.286,5.84200000000004,6.096,11.938,3.81,0,1.524,13.208,0.508000000000038,3.81,0.254000000000019,8.12799999999993,1.27000000000004,1.27000000000004,15.748,9.65199999999999,NA,8.88999999999999,NA,5.58799999999997,21.336,20.574,11.684,9.14400000000001,3.55599999999993,7.11200000000008,0.253999999999905
4.15,"SOUTH POINT NEAR NAALEHU 12SSW","NWS","STATE","BI",295.78,18.9928,-155.668,NA,"SOPH1","B1507246",NA,NA,0,0,0,0,1.524,3.81,0.508,0,0,0,0,0.254,0,0,0,0,0,0,0,0,0.254,0,0.762,NA,0,0.254,0,2.794,0
9.2,"Nene Cabin","Nene Cabin","RAWS","BI",1991.7737,19.2564,-155.6144,NA,"NENH1","32D64524",NA,NA,0,0,0.253999999999962,1.52400000000006,0,0,1.01599999999996,0.253999999999962,NA,10.16,0,0.507999999999981,0,0.508000000000038,0,0,1.01600000000002,0.507999999999981,NA,1.26999999999998,0,12.7,25.146,NA,0.253999999999962,0.508000000000095,0,0,0
21,"Pahala","KAU SUGAR","HydroNet-UaNet","BI",346.8624,19.2042999,-155.4872,"USC00517421","PPLH1","B16084B2",NA,NA,0,0,0,0,1.01600000000008,3.30199999999996,9.90600000000006,3.55599999999998,9.65199999999999,3.30199999999996,0.254000000000019,1.01600000000002,0.253999999999962,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
23,"KAHUKU","RAWS","RAWS","BI",1796.4912,19.23222222,-155.78,NA,"KRCH1","32639544",NA,NA,0.507999999999925,0.254000000000019,0.762000000000057,5.08000000000004,0.761999999999944,4.572,6.60399999999993,3.81000000000006,1.524,7.62,4.31799999999998,2.28599999999994,11.176,1.01599999999996,0,0,0,5.58800000000008,NA,2.03200000000004,NA,0,0,4.06400000000008,1.26999999999998,5.08000000000004,3.048,0.507999999999925,0.254000000000133
27.6,"Honaunau No. 2","NWS","HydroNet-UaNet","BI",398.0688,19.4629002,-155.8824,NA,"HAUH1","15D12742",NA,NA,1.01599999999871,0,2.03200000000106,4.5719999999983,8.89000000000124,29.9719999999998,30.2260000000006,7.61999999999989,0.253999999999905,4.06400000000031,6.85799999999927,4.57200000000103,3.55599999999959,1.77799999999934,0.762000000000626,0,6.60400000000027,13.9700000000003,5.07999999999993,0.253999999998996,NA,0.507999999999811,10.9219999999996,33.0200000000004,49.5299999999997,8.63599999999951,20.3200000000006,5.07999999999902,3.04800000000068
29.12,"Kealakekua","NWS","HydroNet-UaNet","BI",537.972,19.5181007,-155.9159,NA,"KLEH1","81708572",NA,NA,0.507999999999811,1.01600000000053,12.9539999999997,1.52399999999943,2.03200000000106,37.0839999999998,52.8319999999994,15.2399999999998,2.54000000000087,4.57199999999921,6.60400000000027,1.01600000000053,4.3179999999993,2.79400000000078,0,1.77799999999934,12.4459999999999,24.1300000000001,8.88999999999942,0.254000000000815,NA,0,3.55600000000049,15.7479999999996,27.6859999999997,12.4460000000008,27.4319999999998,2.79399999999987,8.38200000000052
34,"Kapapala Ranch","NWS","HydroNet-UaNet","BI",638.556,19.2754993,-155.4514,"USC00513300","KAYH1","B16097C4",NA,NA,0,0,0,0,0.507999999999811,0.253999999999905,16.2560000000003,3.04799999999977,9.14400000000023,8.1279999999997,0,0,0,0,0,0,0,0,0,0,NA,0,0.253999999999905,0,0,0.253999999999905,0,0,0
36.3,"KAPAPALA RANCH","KAPAPALA RANCH","RAWS","BI",1081,19.25811,-155.441781,NA,"KPRH1","AA10E258",NA,NA,0.253999999999905,0,0,0,0.254000000000133,0.76199999999983,5.08000000000015,0.508000000000038,8.38199999999995,2.79399999999998,0,0.762000000000057,0,0,0,0,0,0,0,0,NA,0,0.253999999999905,0,0,0,0,0,0
38.9,"KAELAKOMO","KAELAKOMO","RAWS","BI",29.5656,19.29277778,-155.1075,NA,"KMOH1","32807432",NA,NA,0,0,0,0,1.01599999999985,2.7940000000001,0,0,0,1.77800000000002,0,2.53999999999996,0,0.507999999999811,0,0,0,0,NA,0,NA,0,10.6679999999999,1.26999999999998,0,0,0,0,0
