"SKN","Station.Name","Observer","Network","Island","ELEV.m.","LAT","LON","NCEI.id","NWS.id","NESDIS.id","SCAN.id","SMART_NODE_RF.id","X2021.02.01","X2021.02.02","X2021.02.03","X2021.02.04","X2021.02.05","X2021.02.06","X2021.02.07","X2021.02.08","X2021.02.09","X2021.02.10","X2021.02.11","X2021.02.12","X2021.02.13","X2021.02.14","X2021.02.15","X2021.02.16","X2021.02.17","X2021.02.18","X2021.02.19","X2021.02.20","X2021.02.21","X2021.02.22","X2021.02.23","X2021.02.24","X2021.02.25","X2021.02.26","X2021.02.27","X2021.02.28"
2.32,"SOUTH KONA 2 2.32","COOP","COOP","BI",647,19.10778,-155.78944,"USC00518652",NA,NA,NA,NA,NA,4.3,NA,NA,0,0,0,0,0,0,0,0,0.5,NA,0,0,NA,NA,0.8,NA,NA,NA,NA,NA,NA,0,NA,0.5
2.34,"MILOLII 2.34","COOP","COOP","BI",280,19.186302,-155.886763,"USC00516304",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,1,0.8,0.8,5.1,3.6,NA,0.8,NA,3.8,0.5,NA,NA,2.8,NA,NA
2.36,"KAPUA 2.36","COOP","COOP","BI",533,19.14472,-155.84944,"USC00513376",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2.5,0,0,0,0,0,4.1,0,0,2.3,0.5,1.5,NA,NA,7.6,1.8,8.4,NA,0,NA,0.8
3.22,"HAWAIIAN OCEAN VIEW 4.7 NNE","HAWAIIAN OCEAN VIEW 4.7 NNE","CoCoRaHS","BI",1273,19.135,-155.747,"US1HIHI0035",NA,NA,NA,NA,1.8,4.6,0.5,2,0.5,0,0,NA,NA,NA,NA,NA,NA,2.8,0.5,0.5,0.3,NA,NA,NA,NA,NA,NA,1.3,0.8,0,NA,NA
3.9,"LOWER KAHUKU CS","LOWER KAHUKU CS","RAWS","BI",953.7192,19.10083333,-155.6697222,NA,"LKHH1","32D620C2",NA,NA,2.79400000000001,0.254000000000019,3.81,9.14399999999998,0.254000000000019,0,0,0,10.16,NA,1.52400000000006,NA,6.85799999999995,4.06400000000002,1.77800000000002,1.26999999999998,3.81,13.208,NA,6.858,NA,2.286,6.096,5.58800000000002,NA,0.762,3.81,1.26999999999998
4.12,"NAALEHU 4.6 WSW","NAALEHU 4.6 WSW","CoCoRaHS","BI",391,19.0424,-155.6354,"US1HIHI0001",NA,NA,NA,NA,1.5,1.8,1.5,6.1,4.1412105661855,0,0,0,0,0.5,0,0.8,0,1.66830715677638,0,3,6.9,9.7,2.5,7.4,1.5,3.8,0,1.95428783560231,4.3,0,2.5,0
4.14,"NAALEHU 4.7 WSW, HI US","CoCoRaHs","CoCoRaHs","BI",393.18,19.0421,-155.6371,"US1HIHI0057",NA,NA,NA,NA,NA,2.5,2,4.6,NA,0,0,0,0,0,0,0.8,0,NA,0,2.3,6.9,9.4,1.3,6.1,0.5,NA,2.5,NA,4.1,0,2.5,0
4.15,"SOUTH POINT NEAR NAALEHU 12SSW","NWS","STATE","BI",295.78,18.9928,-155.668,NA,"SOPH1","B1507246",NA,NA,0,1.778,6.858,NA,NA,0,0,0,0,0,0.508,0,0,1.524,3.048,3.302,0.254,4.826,NA,4.064,3.048,0,0,5.842,6.604,0,1.778,0
6.2,"NAALEHU 5.7 W","NAALEHU 5.7 W","CoCoRaHS","BI",679,19.0732,-155.6632,"US1HIHI0012",NA,NA,NA,NA,2.02729503471505,3.8,2,6.1,5.59697041235823,0.8,0,0,0,8.6,0.5,1.5,0.5,4.1,2.5,3.3,3.8,8.4,9.1,3.6,3,3.79651030522177,0,4.6,3,0.8,3.3,0
9.2,"Nene Cabin","Nene Cabin","RAWS","BI",1991.7737,19.2564,-155.6144,NA,"NENH1","32D64524",NA,NA,5.08000000000038,2.53999999999996,NA,0,0,0,0,0,0,0,0,0,NA,7.61999999999989,0,NA,5.08,NA,2.539794984375,NA,5.07999999999993,NA,NA,5.07999999999993,0,2.53999999999996,5.07999999999993,7.61999999999989
