"SKN","Station.Name","Observer","Network","Island","ELEV.m.","LAT","LON","NCEI.id","NWS.id","NESDIS.id","SCAN.id","SMART_NODE_RF.id","X2022.02.01","X2022.02.02","X2022.02.03","X2022.02.04","X2022.02.05","X2022.02.06","X2022.02.07","X2022.02.08","X2022.02.09","X2022.02.10","X2022.02.11","X2022.02.12","X2022.02.13","X2022.02.14","X2022.02.15","X2022.02.16","X2022.02.17","X2022.02.18","X2022.02.19","X2022.02.20","X2022.02.21","X2022.02.22","X2022.02.23","X2022.02.24","X2022.02.25","X2022.02.26","X2022.02.27","X2022.02.28"
3.9,"LOWER KAHUKU CS","LOWER KAHUKU CS","RAWS","BI",953.7192,19.10083333,-155.6697222,NA,"LKHH1","32D620C2",NA,NA,4.82600000000002,9.39799999999991,0.762000000000171,4.31799999999998,NA,NA,10.1600000000001,3.80999999999995,0.253999999999905,1.27000000000021,1.52399999999989,6.096,0.253999999999905,0.254000000000133,NA,9.65200000000004,NA,3.80999999999995,1.52400000000011,0.253999999999905,7.11200000000008,0.507999999999811,0,0,0,2.032,0.254,0
4.15,"SOUTH POINT NEAR NAALEHU 12SSW","NWS","STATE","BI",295.78,18.9928,-155.668,NA,"SOPH1","B1507246",NA,NA,0,0,0,0,0,0,0,0,0,0,1.27,0,4.318,0,NA,4.064,0.254,0,0,0,0.254,0.508,0,0,0,0,0,NA
9.2,"Nene Cabin","Nene Cabin","RAWS","BI",1991.7737,19.2564,-155.6144,NA,"NENH1","32D64524",NA,NA,NA,1.77800000000002,0,1.52400000000011,5.07999999999993,1.26999999999998,1.01600000000008,1.52399999999989,0,0,0,1.016,0.761999999999944,0,NA,5.588,6.85799999999995,NA,2.032,4.06400000000008,9.65199999999982,0,0,0,0,0,0,0
21,"Pahala","KAU SUGAR","HydroNet-UaNet","BI",346.8624,19.2042999,-155.4872,"USC00517421","PPLH1","B16084B2",NA,NA,0,2.79399999999987,0,4.31799999999998,0.254000000000133,0,0,0,0.253999999999905,7.62000000000012,0.507999999999811,0.868670650474269,NA,0.508000000000038,2.28599999999983,NA,1.26999999999998,0,0,2.28600000000006,0.0868670650474263,0,0,0,0,0,0,1.01600000000008
23,"KAHUKU","RAWS","RAWS","BI",1796.4912,19.23222222,-155.78,NA,"KRCH1","32639544",NA,NA,5.588,1.016,0.253999999999998,1.27,0,NA,0.762,0.507999999999999,1.524,0,0,1.27,0.253999999999991,0.762,3.04800000000001,0,0,5.08,0,0,1.778,0.253999999999998,0,0,0,0,0,0
27.6,"Honaunau No. 2","NWS","HydroNet-UaNet","BI",398.0688,19.4629002,-155.8824,NA,"HAUH1","15D12742",NA,NA,0.254000000000815,0.507999999999811,0,0,1.01599999999962,1.01599999999962,1.01599999999962,1.53397044418487,2.54000000000087,0.253999999998996,0,0,0,0,0,0,0,0.254000000000815,0,0,0,0,0,0,0,0,0,0
29.12,"Kealakekua","NWS","HydroNet-UaNet","BI",537.972,19.5181007,-155.9159,NA,"KLEH1","81708572",NA,NA,0.50800000000072,0,0,0,0.253999999999905,0,0,1.52399999999943,1.01600000000053,0.253999999998996,0,0,0,0,0,0,1.01600000000053,1.01600000000053,0,0,0,3.30199999999968,0,0,0,0.254000000000815,0,0
34,"Kapapala Ranch","NWS","HydroNet-UaNet","BI",638.556,19.2754993,-155.4514,"USC00513300","KAYH1","B16097C4",NA,NA,0,2.04241964319994,0,4.38296844035216,0.371349026036565,0.153312714880381,0,0,0.185674513018116,6.33679896494754,0.371349026036232,2.54,NA,0.831287170677533,3.81,NA,0.762,0.254000000000005,0.253999999999991,5.08000000000001,0.253999999999998,0,0,0,0,0,0.254000000000005,3.55599999999999
36.3,"KAPAPALA RANCH","KAPAPALA RANCH","RAWS","BI",1081,19.25811,-155.441781,NA,"KPRH1","AA10E258",NA,NA,0,0,0,2.032,0.307615231674952,0.254000000000005,0,0,0,1.27,0,0,NA,0.762,1.524,NA,0,0,0,4.06400000000001,0,0,0,0,0,0,0,2.08807634032848
38.9,"KAELAKOMO","KAELAKOMO","RAWS","BI",29.5656,19.29277778,-155.1075,NA,"KMOH1","32807432",NA,NA,1.77800000000002,0,0,4.06399999999999,8.88999999999999,NA,0,0,0,0,0,0,4.06400000000002,0,0,1.524,4.82599999999999,0,0,0,0,0,0,0,0,0,0,NA
39,"Mauna Loa Observatory","NWS","ESRL/GMD","BI",3397,19.5362,-155.5763,"USC00516198","MOBH1",NA,NA,NA,0,0,0,0,2.794,0.254,0,0,0,0,0,0,0,0,2.032,0.254,0,0,0,0,0,0,0,0,0,0,0,0
43.3,"PUHE CS","PUHE CS","RAWS","BI",34.126,20.025,-155.8211111,NA,"PHRH1","32D61558",NA,NA,0,0,0,0,0,0,0,0,4.82600000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,"KEMOKU LAVA FLOW","RAWS","RAWS","BI",1706.88,19.47555556,-155.3627778,"USR0000HKEA","KKUH1","FA4447E8",NA,NA,0,0,0,NA,NA,NA,NA,NA,0.507999999999925,0,0,3.04800000000012,2.79399999999998,4.31799999999998,0.254000000000019,1.524,1.26999999999998,0.508000000000038,9.90599999999984,4.06400000000008,0,0,0,0,0,0,0,NA
48,"PALI 2","RAWS","RAWS","BI",847.344,19.3175,-155.2922222,"USR0000HPAL","PLIH1","FA900222",NA,NA,0,0,0,9.144,1.27,0,0,0,1.27,0.254,0.254,0,NA,0,0.254000000000005,7.36600000000001,0,0,0,1.26999999999998,0,0,0,0,0,0,0,0.762
54.2,"Glenwood","HELBUSH XL","HydroNet-UaNet","BI",802.2336,19.5076008,-155.1707,"USC00510744","GLNH1",NA,NA,NA,3.33710373561584,0.508,0.762,4.318,10.922,25.908,5.50293443464631,8.128,5.334,2.794,2.286,2.794,6.604,3.81,7.874,5.334,12.192,1.524,6.55002465290369,0.508,3.556,2.54723868152602,0.508,2.032,1.27,0.508,0,0
63,"KALOKO-HONOKOHAU","RAWS","RAWS","BI",7.62,19.67277778,-156.0202778,NA,"KHOH1","FA667668",NA,NA,2.032,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA
68.21,"KAILUA KONA KE AHOLE AIRPORT","KAILUA KONA KE AHOLE AIRPORT","NWS","BI",27,19.73556,-156.04889,"USW00021510","PHKO",NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,1.016,0,0,0,0,0,NA
69.28,"Kailua-Kona HI US G0154-W6SPO-13 ","unknown","APRSWXNET","BI",0,19.707,-155.978,NA,"G0154",NA,NA,NA,NA,5.07999992370606,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.254000008106232,6.60399961471558,0.76199996471405,NA,0.254000008106232,NA,NA,0
69.51,"Kailua Kona HI US E6648-EW6648 ","unknown","APRSWXNET","BI",164.05,19.61,-155.96,NA,"E6648",NA,NA,NA,0.7620003411438,0,0,0,1.77799999713898,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.508000016212463,0,0,0,0,0,0
70.16,"Waiaha Stream","NWS","HydroNet-UaNet","BI",460.5528,19.6331997,-155.9486,NA,"WIHH1","9321011E",NA,NA,0,4.06399999999999,0,0,2.286,0,0,0,1.14471866780807,0,0,0,0,0,0,0,0,0.507999999999996,0,0,0,2.28600000000002,0,0,0,0,0,0
75.1,"PTA KIPUKA ALALA","RAWS","RAWS","BI",1641.348,19.66694444,-155.7077778,"USR0000HPTK","PKAH1","32666200",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254000000000001,0,0,0.253999999999998,0,0,0,0,0,0
79.6,"Kulani NWR","NWS","HydroNet-UaNet","BI",1623.3648,19.5543995,-155.3089,NA,"KNWH1",NA,NA,NA,1.524,0.254,0.508,5.588,10.922,7.874,1.27,0.762,1.524,0.762,0,1.016,7.112,4.318,5.334,0,7.62,2.032,4.30076598935605,0.762,1.27,1.13259805051476,0,0,0,0,0,0
83,"QuarryRainGageatSaddleRd","USGS","USGS","BI",1286.256,19.68586111,-155.2942222,NA,"SDQH1","DDF6B6E4",NA,NA,3.30200000000002,0.254000000000019,1.01599999999996,4.82600000000002,17.7800000000001,11.684,6.60399999999993,1.26999999999998,1.77800000000002,1.01600000000008,0.254000000000019,2.03199999999993,10.0309744951628,2.53999999999996,4.3180000000001,0.76199999999983,10.1600000000001,9.90600000000006,6.09599999999989,1.2700000000001,10.6679999999999,0.762000000000057,0,0,0,0.762000000000057,1.52399999999989,0
85.2,"Waiakea Uka","NWS","HydroNet-UaNet","BI",303.8856,19.6585999,-155.1277,"USC00519084","WKAH1",NA,NA,NA,6.096,0.254,0,3.048,23.368,14.732,5.842,12.7,1.524,2.286,0,4.318,10.668,5.842,2.40837131165043,8.79088830994958,27.94,2.032,10.16,3.81,3.556,3.302,0,1.778,0.508,0,0,0
87,"HILO INTERNATIONAL AIRPORT 87","NWS","HydroNet-UaNet","BI",11.6,19.7191,-155.053,"USW00021504","PHTO",NA,NA,NA,3.81,0.508,0,8.636,11.43,16.002,5.40407139215058,9.652,1.016,0,0.254,6.604,19.05,11.43,0,5.842,30.734,1.70965743994467,0,0,2.794,2.54,0.508,1.524,0.254,0,0.254,0.508
88.8,"Waiakea Exp Farm","UNIV HAWAII","STATE","BI",183,19.644743,-155.0805636,NA,"WEXH1","CD07410A",NA,NA,3.556,1.016,0,10.668,33.02,16.002,14.732,19.05,2.54,0.508,0.254,1.016,16.002,6.35,0,NA,20.828,4.572,0,0,2.032,2.54,0.762,1.27,0,0,0,NA
89.11,"Piihonua","NWS","HydroNet-UaNet","BI",296.8752,19.7098007,-155.1395,"USC00518053","PIIH1",NA,NA,NA,1.016,0.254,0,7.112,21.844,18.034,7.112,12.954,2.54,1.524,0.254,11.43,17.526,10.16,0,13.462,21.59,2.54,3.302,1.778,4.064,2.09627200637315,0,0,1.778,0.254,0,0
89.15,"HONOLII STREAM NEAR PAPAIKOU NEAR HILO 3N ","USGS","USGS","BI",522.23157,19.7667,-155.1544,NA,"NLIH1","D114953C",NA,NA,2.794,0.254000000000001,0,8.382,45.212,34.036,NA,NA,6.34999999999999,6.34999999999999,0.254000000000019,11.938,32.258,12.192,0.762000000000029,16.256,22.86,3.30200000000002,2.54000000000002,2.79399999999998,8.63599999999997,3.81,0,0.508000000000038,7.11200000000002,0.253999999999962,0,0
91.15,"Mountain View","Mountain View","HydroNet-UaNet","BI",346.5576,19.5674992,-155.0841,NA,"MTVH1",NA,NA,NA,6.096,0.508,0,3.048,21.082,23.368,10.922,NA,5.588,0,0.254,5.334,23.368,4.572,0,0,0,0,0,0,0,NA,NA,NA,NA,0.508,0,0
91.9,"Pahoa Beacon","NWS","HydroNet-UaNet","BI",187.1472,19.5149994,-154.9644,NA,"PHAH1",NA,NA,NA,4.318,1.524,0,5.36154172772194,21.844,18.542,4.572,10.668,1.778,0,0.254,16.002,3.81,5.588,1.524,0.254,22.4148531740754,1.56808588901726,3.302,1.45630624909155,3.048,1.72009963911075,5.842,1.778,1.524,0,0.508,0.508
92.5,"KiholoRainGage","USGS","USGS","BI",283.96692,19.82580556,-155.8925833,NA,"KIRH1","DD60236E",NA,NA,0.254000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.048,0.254000000000005,0,0,0,0,0,0,0,0,0,NA
93.12,"PUUANAHULU","RAWS","RAWS","BI",830.58,19.83277778,-155.7697222,NA,"PULH1","48703040",NA,NA,2.286,9.906,0,0,0,0,0,0,0,0.508000000000003,0,0,0,0,6.096,0,0.507999999999996,0,0,0,9.398,0.254000000000005,0,0,0,0,0,0
94,"KAUPULEHU LAVA FLOW","RAWS","RAWS","BI",372.1608,19.80333333,-155.9180556,NA,"KPLH1","4870E628",NA,NA,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
94.5,"PUU WAAWAA","RAWS","RAWS","BI",708.9648,19.795,-155.8452778,"USR0000HPUW","PWWH1","487046D0",NA,NA,1.01600000000001,0,0,0,0,0,0,0,0,1.01599999999999,0.254000000000019,0,0,0,0,0,0,0,0,0,0.761999999999986,0,0,0,0,0,0,0
95.6,"WAIKOLOA","RAWS","RAWS","BI",297.7896,19.92416667,-155.7936111,NA,"WKVH1","4870C0C4",NA,NA,1.77799999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98.2,"PUHO CS","PUHO CS","RAWS","BI",29.5656,19.42194444,-155.9075,NA,"PERH1","32D6803A",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,"PTA WEST","RAWS","RAWS","BI",1307.592,19.77166667,-155.7022222,"USR0000HPTW","PKWH1","32667176",NA,NA,0.508000000000001,1.778,0,0,0,0,0,0,0,0.254,0,0,NA,0,0.508000000000003,0,0,0.253999999999994,0.254000000000001,0,NA,0,0,0,NA,0,0,0
100.3,"Waikii","Waikii","HydroNet-UaNet","BI",1417.0152,19.8614006,-155.6506,NA,"WHIH1",NA,NA,NA,1.016,1.524,0,0,0,0,0.254,0,0,0,0.254,0,5.588,0.254,NA,NA,NA,NA,NA,NA,NA,NA,0,0.254,0.254,0,0,0
102.8,"AUHMOA","RAWS","RAWS","BI",2001.9264,19.83638889,-155.6130556,NA,"AHMH1","4870D3B2",NA,NA,2.794,0,0,0,0,0,0.254,0,0,0,0,0,NA,0,1.27,1.524,0,9.398,0.253999999999998,0.508000000000003,NA,0,0,0,0,0,0,NA
