,ELEV.m.,Island,LAT,LON,NCEI.id,NESDIS.id,NWS.id,Network,Observer,SCAN.id,SKN,SMART_NODE_RF.id,Station.Name,UID
0,953.7192,BI,19.10083333,-155.6697222,,32D620C2,LKHH1,RAWS,LOWER KAHUKU CS,,3.9_R,,LOWER KAHUKU CS,19.100833_-155.669722
1,295.78,BI,18.9928,-155.668,,B1507246,SOPH1,STATE,NWS,,4.15_R,,SOUTH POINT NEAR NAALEHU 12SSW,18.992800_-155.668000
2,1991.7737,BI,19.2564,-155.6144,,32D64524,NENH1,RAWS,Nene Cabin,,9.2_R,,Nene Cabin,19.256400_-155.614400
3,346.8624,BI,19.2042999,-155.4872,USC00517421,B16084B2,PPLH1,HydroNet-UaNet,KAU SUGAR,,21.0_R,,Pahala,19.204300_-155.487200
4,1796.4912,BI,19.23222222,-155.78,,32639544,KRCH1,RAWS,RAWS,,23.0_R,,KAHUKU,19.232222_-155.780000
5,398.0688,BI,19.4629002,-155.8824,,15D12742,HAUH1,HydroNet-UaNet,NWS,,27.6_R,,Honaunau No. 2,19.462900_-155.882400
6,537.972,BI,19.5181007,-155.9159,,81708572,KLEH1,HydroNet-UaNet,NWS,,29.12_R,,Kealakekua,19.518101_-155.915900
7,638.556,BI,19.2754993,-155.4514,USC00513300,B16097C4,KAYH1,HydroNet-UaNet,NWS,,34.0_R,,Kapapala Ranch,19.275499_-155.451400
8,1081.0,BI,19.25811,-155.441781,,AA10E258,KPRH1,RAWS,KAPAPALA RANCH,,36.3_R,,KAPAPALA RANCH,19.258110_-155.441781
9,29.5656,BI,19.29277778,-155.1075,,32807432,KMOH1,RAWS,KAELAKOMO,,38.9_R,,KAELAKOMO,19.292778_-155.107500
10,3397.0,BI,19.5362,-155.5763,USC00516198,,MOBH1,ESRL/GMD,NWS,,39.0_R,,Mauna Loa Observatory,19.536200_-155.576300
11,34.126,BI,20.025,-155.8211111,,32D61558,PHRH1,RAWS,PUHE CS,,43.3_R,,PUHE CS,20.025000_-155.821111
12,1706.88,BI,19.47555556,-155.3627778,USR0000HKEA,FA4447E8,KKUH1,RAWS,RAWS,,47.0_R,,KEMOKU LAVA FLOW,19.475556_-155.362778
13,847.344,BI,19.3175,-155.2922222,USR0000HPAL,FA900222,PLIH1,RAWS,RAWS,,48.0_R,,PALI 2,19.317500_-155.292222
14,802.2336,BI,19.5076008,-155.1707,USC00510744,,GLNH1,HydroNet-UaNet,HELBUSH XL,,54.2_R,,Glenwood,19.507601_-155.170700
15,7.62,BI,19.67277778,-156.0202778,,FA667668,KHOH1,RAWS,RAWS,,63.0_R,,KALOKO-HONOKOHAU,19.672778_-156.020278
16,27.0,BI,19.73556,-156.04889,USW00021510,,PHKO,NWS,KAILUA KONA KE AHOLE AIRPORT,,68.21_R,,KAILUA KONA KE AHOLE AIRPORT,19.735560_-156.048890
17,0.0,BI,19.707,-155.978,,,G0154,APRSWXNET,unknown,,69.28_R,,Kailua-Kona HI US G0154-W6SPO-13 ,19.707000_-155.978000
18,164.05,BI,19.61,-155.96,,,E6648,APRSWXNET,unknown,,69.51_R,,Kailua Kona HI US E6648-EW6648 ,19.610000_-155.960000
19,460.5528,BI,19.6331997,-155.9486,,9321011E,WIHH1,HydroNet-UaNet,NWS,,70.16_R,,Waiaha Stream,19.633200_-155.948600
20,1641.348,BI,19.66694444,-155.7077778,USR0000HPTK,32666200,PKAH1,RAWS,RAWS,,75.1_R,,PTA KIPUKA ALALA,19.666944_-155.707778
21,1623.3648,BI,19.5543995,-155.3089,,,KNWH1,HydroNet-UaNet,NWS,,79.6_R,,Kulani NWR,19.554399_-155.308900
22,1286.256,BI,19.68586111,-155.2942222,,DDF6B6E4,SDQH1,USGS,USGS,,83.0_R,,QuarryRainGageatSaddleRd,19.685861_-155.294222
23,303.8856,BI,19.6585999,-155.1277,USC00519084,,WKAH1,HydroNet-UaNet,NWS,,85.2_R,,Waiakea Uka,19.658600_-155.127700
24,11.6,BI,19.7191,-155.053,USW00021504,,PHTO,HydroNet-UaNet,NWS,,87.0_R,,HILO INTERNATIONAL AIRPORT 87,19.719100_-155.053000
25,183.0,BI,19.644743,-155.0805636,,CD07410A,WEXH1,STATE,UNIV HAWAII,,88.8_R,,Waiakea Exp Farm,19.644743_-155.080564
26,296.8752,BI,19.7098007,-155.1395,USC00518053,,PIIH1,HydroNet-UaNet,NWS,,89.11_R,,Piihonua,19.709801_-155.139500
27,522.23157,BI,19.7667,-155.1544,,D114953C,NLIH1,USGS,USGS,,89.15_R,,HONOLII STREAM NEAR PAPAIKOU NEAR HILO 3N ,19.766700_-155.154400
28,346.5576,BI,19.5674992,-155.0841,,,MTVH1,HydroNet-UaNet,Mountain View,,91.15_R,,Mountain View,19.567499_-155.084100
29,187.1472,BI,19.5149994,-154.9644,,,PHAH1,HydroNet-UaNet,NWS,,91.9_R,,Pahoa Beacon,19.514999_-154.964400
30,283.96692,BI,19.82580556,-155.8925833,,DD60236E,KIRH1,USGS,USGS,,92.5_R,,KiholoRainGage,19.825806_-155.892583
31,830.58,BI,19.83277778,-155.7697222,,48703040,PULH1,RAWS,RAWS,,93.12_R,,PUUANAHULU,19.832778_-155.769722
32,372.1608,BI,19.80333333,-155.9180556,,4870E628,KPLH1,RAWS,RAWS,,94.0_R,,KAUPULEHU LAVA FLOW,19.803333_-155.918056
33,708.9648,BI,19.795,-155.8452778,USR0000HPUW,487046D0,PWWH1,RAWS,RAWS,,94.5_R,,PUU WAAWAA,19.795000_-155.845278
34,297.7896,BI,19.92416667,-155.7936111,,4870C0C4,WKVH1,RAWS,RAWS,,95.6_R,,WAIKOLOA,19.924167_-155.793611
35,29.5656,BI,19.42194444,-155.9075,,32D6803A,PERH1,RAWS,PUHO CS,,98.2_R,,PUHO CS,19.421944_-155.907500
36,1307.592,BI,19.77166667,-155.7022222,USR0000HPTW,32667176,PKWH1,RAWS,RAWS,,99.0_R,,PTA WEST,19.771667_-155.702222
37,1417.0152,BI,19.8614006,-155.6506,,,WHIH1,HydroNet-UaNet,Waikii,,100.3_R,,Waikii,19.861401_-155.650600
38,2001.9264,BI,19.83638889,-155.6130556,,4870D3B2,AHMH1,RAWS,RAWS,,102.8_R,,AUHMOA,19.836389_-155.613056
39,1959.864,BI,19.68277778,-155.5452778,USR0000HPTA,3266D18E,PTAH1,RAWS,RAWS,,107.4_R,,PTA EAST,19.682778_-155.545278
40,1734.312,BI,19.74583333,-155.6261111,,3279630C,,RAWS,RAWS,,109.0_R,,PTA RANGE 17,19.745833_-155.626111
41,2165.0,BI,19.92666,-155.44,,3181742E,PMLH1,RAWS,RAWS,,113.2_R,,PUU MALI,19.926660_-155.440000
42,1950.72,BI,19.82111111,-155.3305556,USR0000HHAK,8374D370,HKUH1,RAWS,RAWS,,129.0_R,,HAKALAU,19.821111_-155.330556
43,334.0,BI,19.9672,-155.2367,,,F9660,APRSWXNET,unknown,,132.6_R,,"Laupahoehoe, HI US F9660-FW9660",19.967200_-155.236700
44,499.872,BI,19.9792,-155.2372,,B159741A,LPHH1,HydroNet-UaNet,NWS,,133.3_R,,Laupahoehoe,19.979200_-155.237200
45,345.6432,BI,19.7884998,-155.1313,,,PPWH1,HydroNet-UaNet,NWS,,140.6_R,,Papaikou Well,19.788500_-155.131300
46,328.8792,BI,20.08305556,-155.8325,,4870B654,KHRH1,RAWS,KOHALA RANCH,,147.2_R,,KOHALA RANCH,20.083056_-155.832500
47,34.0,BI,20.265,-155.8582,,B15017A0,UPLH1,HydroNet-UaNet,NWS,,160.3_R,,Upolu Airport,20.265000_-155.858200
48,987.552,BI,20.1249008,-155.7884,,15D293C2,KASH1,HydroNet-UaNet,KAHUA RANCH,,176.3_R,,Kahua Ranch HQ,20.124901_-155.788400
49,1237.488,BI,20.08533333,-155.6811667,,DDF6A592,KWSH1,USGS,USGS,,185.7_R,,KawainuiRainGagenearKamuela,20.085333_-155.681167
50,948.5376,BI,20.0319996,-155.6667,USC00513080,817075F6,KUUH1,HydroNet-UaNet,NWS,,192.7_R,,Kamuela Upper,20.032000_-155.666700
51,877.824,BI,20.0394993,-155.6084,,81706680,KMUH1,HydroNet-UaNet,NWS,,201.3_R,,Kamuela 1,20.039499_-155.608400
52,310.01,BI,20.101,-155.531,,,E6549,APRSWXNET,unknown,,208.1_R,,Honokaa HI US E6549-AH6AE ,20.101000_-155.531000
53,591.9216,BI,20.0656,-155.49,,B15047DC,HNKH1,HydroNet-UaNet,NWS,,215.5_R,,Honokaa,20.065600_-155.490000
