"SKN","Station.Name","Observer","Network","Island","ELEV.m.","LAT","LON","NCEI.id","NWS.id","NESDIS.id","SCAN.id","SMART_NODE_RF.id","X2018.02.01","X2018.02.02","X2018.02.03","X2018.02.04","X2018.02.05","X2018.02.06","X2018.02.07","X2018.02.08","X2018.02.09","X2018.02.10","X2018.02.11","X2018.02.12","X2018.02.13","X2018.02.14","X2018.02.15","X2018.02.16","X2018.02.17","X2018.02.18","X2018.02.19","X2018.02.20","X2018.02.21","X2018.02.22","X2018.02.23","X2018.02.24","X2018.02.25","X2018.02.26","X2018.02.27","X2018.02.28"
2.1,"KAHUKU MAUKA","COOP","COOP","BI",957,19.1089,-155.7467,"USC00512566",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.8175737032792,27.0277405577936,0,1.62817714203576,19.8637611328363,0,0,9.11779199540026,0,0,24.8568377017459,0,4.99307656890966,0
2.32,"SOUTH KONA 2 2.32","COOP","COOP","BI",647,19.10778,-155.78944,"USC00518652",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.1,24.9,0,1.5,18.3,0,0,8.4,0,0,22.9,0,4.6,0
2.34,"MILOLII 2.34","COOP","COOP","BI",280,19.186302,-155.886763,"USC00516304",NA,NA,NA,NA,0,0,3,0,0,0.8,0,0,0,0,0,7.4,0,0,0,25.4,5.6,0,16.5,0,0,1.8,17.5,0,10.2,0,0,4.3
2.36,"KAPUA 2.36","COOP","COOP","BI",533,19.14472,-155.84944,"USC00513376",NA,NA,NA,NA,0,0,0.8,0,0,0,0,0,0,0,0,7.6,0,0,0,38.1,24.1,0,0,6.9,0,2,13.7,0,0,11.4,16.8,0
3.22,"HAWAIIAN OCEAN VIEW 4.7 NNE","HAWAIIAN OCEAN VIEW 4.7 NNE","CoCoRaHS","BI",1273,19.135,-155.747,"US1HIHI0035",NA,NA,NA,NA,0,0,0,0,0,2.3,0,5.6,0,0,0,0.8,0,1.5,4.1,50.5,14.2,1,18.3,0,0.3,3.3,12.2,0,17.5,5.3,0.3,0
3.23,"CAPTAIN COOK 2.9 SSE","CAPTAIN COOK 2.9 SSE","CoCoRaHS","BI",238,19.4594,-155.8938,"US1HIHI0019",NA,NA,NA,NA,0,0,1.5,1.5,0,3.8,0,1.3,NA,0,0,0,0,0,0,16.3,5.1,0.5,23.4,NA,0,1,27.2,0,16.3,0.3,NA,NA
3.9,"LOWER KAHUKU CS","LOWER KAHUKU CS","RAWS","BI",953.7192,19.10083333,-155.6697222,NA,"LKHH1","32D620C2",NA,NA,0,0,0,1,0,3,0,0,0,0,0,0,1,9,35,19,13,17,0,0,3,13,7,54,12,13,15,8
4.12,"NAALEHU 4.6 WSW","NAALEHU 4.6 WSW","CoCoRaHS","BI",391,19.0424,-155.6354,"US1HIHI0001",NA,NA,NA,NA,0,0,0,0.5,1.5,4.8,0,0,0,0,0,0,1.5,1,7.9,53.8,32.3,4.1,3.8,0,0,2.3,17.5,10.2,56.4,17.3,17.3,9.9
4.13,"NAALEHU 5.0 WSW","NAALEHU 5.0 WSW","CoCoRaHS","BI",436,19.0424,-155.643,"US1HIHI0010",NA,NA,NA,NA,0,0,0,0.5,2.5,2.8,2.8,0.3,0.3,0,1.3,0.3,1.5,1,9.7,39.4,24.9,4.1,3.3,0.5,0,2,21.8,5.6,61.5,19.8,15.7,9.1
4.14,"NAALEHU 4.7 WSW, HI US","CoCoRaHs","CoCoRaHs","BI",393.18,19.0421,-155.6371,"US1HIHI0057",NA,NA,NA,NA,0,0,0,0.3,2,4.6,0,0,0,0,0.5,0,1.5,1,8.6,49.3,26.7,3.8,3.8,0,0,2,16.8,11.2,NA,11.7,13.5,7.4
